id,FloodProbability
90615,10.31
90616,9.84
90617,9.92
90618,10.95
90619,7.86
90620,10.16
90621,10.95
90622,6.31
90623,8.03
90624,12.44
90625,12.78
90626,6.81
90627,10.01
90628,13.18
90629,7.66
90630,7.42
90631,13.32
90632,5.76
90633,9.61
90634,10.09
90635,6.62
90636,6.94
90637,9.3
90638,8.87
90639,9.78
90640,10.8
90641,8.47
90642,10.32
90643,5.74
90644,10.61
90645,10.22
90646,9.05
90647,11.83
90648,14.74
90649,13.95
90650,10.0
90651,8.97
90652,8.25
90653,12.17
90654,5.9
90655,8.17
90656,11.46
90657,8.23
90658,6.97
90659,9.43
90660,7.18
90661,8.87
90662,6.75
90663,8.84
90664,7.46
90665,13.92
90666,8.87
90667,5.81
90668,10.13
90669,10.39
90670,9.07
90671,10.59
90672,8.77
90673,12.69
90674,7.93
90675,5.63
90676,11.5
90677,11.65
90678,4.87
90679,9.82
90680,10.41
90681,9.46
90682,16.57
90683,10.55
90684,11.87
90685,12.29
90686,6.69
90687,10.32
90688,8.94
90689,11.95
90690,18.39
90691,8.56
90692,10.89
90693,13.74
90694,9.17
90695,8.6
90696,10.37
90697,7.64
90698,8.74
90699,5.33
90700,11.27
90701,9.94
90702,10.09
90703,12.53
90704,4.95
90705,12.1
90706,11.54
90707,6.77
90708,8.32
90709,9.88
90710,9.9
90711,9.59
90712,8.84
90713,14.87
90714,7.1
90715,8.85
90716,7.15
90717,9.05
90718,4.21
90719,5.79
90720,11.71
90721,9.12
90722,10.24
90723,7.84
90724,10.19
90725,6.64
90726,7.69
90727,7.81
90728,11.76
90729,10.24
90730,10.25
90731,5.61
90732,7.57
90733,9.89
90734,9.0
90735,7.7
90736,8.06
90737,5.64
90738,6.82
90739,15.29
90740,10.62
90741,5.68
90742,9.81
90743,12.21
90744,7.21
90745,9.16
90746,7.89
90747,4.3
90748,14.15
90749,9.46
90750,4.26
90751,7.39
90752,8.22
90753,8.17
90754,8.92
90755,9.66
90756,8.72
90757,13.34
90758,8.81
90759,7.5
90760,7.95
90761,9.72
90762,9.01
90763,9.06
90764,13.33
90765,11.3
90766,7.25
90767,14.76
90768,13.1
90769,6.06
90770,11.34
90771,10.71
90772,5.44
90773,8.01
90774,7.07
90775,9.56
90776,7.51
90777,12.45
90778,10.86
90779,10.91
90780,11.44
90781,11.15
90782,7.79
90783,12.02
90784,6.39
90785,8.73
90786,6.1
90787,8.73
90788,4.42
90789,12.09
90790,8.84
90791,7.04
90792,6.88
90793,6.84
90794,5.81
90795,11.61
90796,10.68
90797,10.37
90798,11.95
90799,8.47
90800,15.21
90801,10.04
90802,6.78
90803,10.68
90804,16.13
90805,10.62
90806,8.25
90807,10.47
90808,9.56
90809,13.14
90810,9.03
90811,9.46
90812,5.84
90813,10.07
90814,7.34
90815,7.85
90816,5.13
90817,10.53
90818,9.41
90819,6.77
90820,6.87
90821,10.3
90822,7.0
90823,6.67
90824,13.07
90825,7.96
90826,5.61
90827,4.18
90828,10.22
90829,11.23
90830,9.79
90831,8.22
90832,9.13
90833,11.93
90834,9.84
90835,9.39
90836,8.95
90837,5.51
90838,11.05
90839,8.34
90840,9.19
90841,11.77
90842,13.77
90843,10.18
90844,14.43
90845,10.58
90846,11.73
90847,7.03
90848,10.07
90849,9.34
90850,10.48
90851,13.22
90852,5.97
90853,11.72
90854,11.28
90855,7.65
90856,8.81
90857,12.91
90858,11.98
90859,10.37
90860,12.8
90861,9.66
90862,11.79
90863,9.1
90864,8.69
90865,14.99
90866,15.67
90867,12.0
90868,11.6
90869,7.93
90870,14.01
90871,11.9
90872,16.33
90873,9.32
90874,14.28
90875,8.7
90876,11.16
90877,9.22
90878,8.12
90879,8.81
90880,8.09
90881,12.81
90882,12.72
90883,12.19
90884,13.37
90885,9.89
90886,13.24
90887,5.65
90888,9.54
90889,13.93
90890,10.47
90891,10.91
90892,10.72
90893,4.49
90894,12.61
90895,11.66
90896,6.45
90897,5.52
90898,5.85
90899,15.62
90900,11.65
90901,14.23
90902,8.84
90903,6.5
90904,7.05
90905,7.37
90906,7.53
90907,9.96
90908,4.23
90909,14.65
90910,9.31
90911,7.73
90912,18.85
90913,9.38
90914,9.28
90915,6.87
90916,8.77
90917,11.03
90918,7.16
90919,8.68
90920,12.61
90921,6.95
90922,7.93
90923,10.01
90924,9.86
90925,11.1
90926,12.69
90927,9.83
90928,13.39
90929,12.36
90930,10.16
90931,11.28
90932,12.97
90933,10.16
90934,14.8
90935,8.97
90936,10.51
90937,11.27
90938,9.53
90939,9.43
90940,8.18
90941,7.3
90942,5.69
90943,12.92
90944,7.52
90945,9.8
90946,9.02
90947,11.43
90948,11.17
90949,12.38
90950,10.85
90951,9.96
90952,8.12
90953,7.11
90954,12.05
90955,8.65
90956,8.44
90957,10.53
90958,3.79
90959,7.44
90960,11.18
90961,7.42
90962,10.6
90963,5.74
90964,12.23
90965,6.17
90966,10.35
90967,9.52
90968,11.7
90969,9.86
90970,9.9
90971,7.54
90972,9.39
90973,10.59
90974,9.11
90975,10.79
90976,7.82
90977,8.6
90978,6.58
90979,9.48
90980,9.09
90981,12.28
90982,13.67
90983,4.17
90984,9.14
90985,6.46
90986,13.52
90987,8.76
90988,8.49
90989,12.49
90990,9.13
90991,8.12
90992,4.99
90993,9.12
90994,12.64
90995,7.32
90996,13.8
90997,10.02
90998,7.17
90999,6.13
91000,12.48
91001,7.51
91002,7.94
91003,11.74
91004,9.42
91005,7.54
91006,11.51
91007,9.71
91008,7.8
91009,11.24
91010,10.14
91011,9.88
91012,8.63
91013,10.32
91014,9.51
91015,9.8
91016,7.7
91017,12.32
91018,7.03
91019,11.26
91020,7.88
91021,11.35
91022,8.36
91023,5.4
91024,6.9
91025,11.16
91026,8.99
91027,7.3
91028,12.46
91029,11.21
91030,8.58
91031,8.71
91032,7.13
91033,4.73
91034,11.37
91035,10.03
91036,13.34
91037,7.12
91038,14.18
91039,12.56
91040,9.08
91041,8.2
91042,10.03
91043,12.89
91044,7.57
91045,8.48
91046,7.95
91047,6.67
91048,10.33
91049,10.23
91050,10.02
91051,8.98
91052,10.68
91053,10.9
91054,8.86
91055,7.45
91056,13.22
91057,11.18
91058,15.87
91059,13.67
91060,9.18
91061,7.61
91062,13.47
91063,8.55
91064,9.3
91065,9.72
91066,9.15
91067,9.54
91068,11.01
91069,8.9
91070,8.98
91071,7.94
91072,5.42
91073,6.64
91074,16.32
91075,6.99
91076,11.57
91077,7.94
91078,6.31
91079,7.16
91080,8.43
91081,7.62
91082,10.22
91083,11.67
91084,7.79
91085,12.46
91086,11.35
91087,12.12
91088,9.51
91089,9.42
91090,10.61
91091,9.57
91092,10.55
91093,7.18
91094,6.69
91095,10.97
91096,11.09
91097,15.42
91098,6.95
91099,6.65
91100,10.74
91101,11.67
91102,7.99
91103,8.76
91104,9.56
91105,15.97
91106,11.98
91107,7.01
91108,10.52
91109,12.02
91110,13.55
91111,8.52
91112,9.9
