iter	RMSE
0	3.011865899
1	2.867114205
2	2.737793233
3	2.622596659
4	2.521653782
5	2.432147036
6	2.352619063
7	2.282490998
8	2.222703534
9	2.169437312
10	2.123306639
11	2.082588413
12	2.048104205
13	2.018068138
14	1.992841922
15	1.97010937
16	1.951275532
17	1.935122737
18	1.920876882
19	1.908561475
20	1.898278332
21	1.888914648
22	1.880905263
23	1.874216393
24	1.868402
25	1.863511597
26	1.859284453
27	1.855606301
28	1.852391021
29	1.849643211
30	1.847330362
31	1.845403914
32	1.843658113
33	1.842143049
34	1.840757442
35	1.839650571
36	1.838805077
37	1.837940637
38	1.837280956
39	1.836642317
40	1.83602828
41	1.835465839
42	1.835008257
43	1.834603469
44	1.834209389
45	1.833818722
46	1.83349615
47	1.833192694
48	1.832988863
49	1.832750556
50	1.832499081
51	1.832316814
52	1.832103942
53	1.831881852
54	1.831718628
55	1.831536249
56	1.831343413
57	1.831220668
58	1.830950341
59	1.830793076
60	1.830369779
61	1.830220823
62	1.829828957
63	1.829629698
64	1.829426995
65	1.829291993
66	1.829139837
67	1.829025177
68	1.8288986
69	1.828747522
70	1.828520031
71	1.828200747
72	1.828054489
73	1.827938866
74	1.827863689
75	1.827824278
76	1.827798117
77	1.827593526
78	1.827503535
79	1.827337957
80	1.827100116
81	1.827022027
82	1.826832387
83	1.826670022
84	1.826473795
85	1.826432584
86	1.826289897
87	1.826147117
88	1.826057707
89	1.825982617
90	1.825870804
91	1.825842609
92	1.825761104
93	1.825700807
94	1.825689582
95	1.82543373
96	1.825350731
97	1.825147888
98	1.825085723
99	1.824970239
100	1.824804915
101	1.824678028
102	1.824550096
103	1.824449512
104	1.824391092
105	1.824325363
106	1.82411719
107	1.824080481
108	1.823860348
109	1.823610809
110	1.823300711
111	1.823121794
112	1.822842577
113	1.822709337
114	1.822536943
115	1.822441014
116	1.822271846
117	1.822178038
118	1.822080538
119	1.821983332
120	1.821841651
121	1.821795317
122	1.821751426
123	1.821663621
124	1.821488285
125	1.821226182
126	1.820978793
127	1.820826874
128	1.820720131
129	1.820575422
130	1.820430709
131	1.820279496
132	1.820149393
133	1.819806844
134	1.819475469
135	1.819186897
136	1.819142519
137	1.819011525
138	1.818656214
139	1.818488941
140	1.818261025
141	1.817926637
142	1.817827898
143	1.817754554
144	1.817623324
145	1.817434605
146	1.817244936
147	1.817118064
148	1.817023933
149	1.816852532
150	1.816787871
151	1.816549118
152	1.816254686
153	1.816127359
154	1.81607548
155	1.81583495
156	1.815732673
157	1.815488531
158	1.815361386
159	1.81532173
160	1.815221107
161	1.81510557
162	1.814850438
163	1.814650642
164	1.814603927
165	1.814539081
166	1.814389421
167	1.814055092
168	1.813975881
169	1.813907525
170	1.813761735
171	1.81358709
172	1.813424632
173	1.813189811
174	1.812970035
175	1.812715433
176	1.812481676
177	1.812358492
178	1.812175191
179	1.812112128
180	1.812036313
181	1.811796954
182	1.811697578
183	1.811455856
184	1.811395152
185	1.811279475
186	1.811055011
187	1.810819717
188	1.810731588
189	1.810571831
190	1.810302406
191	1.810113592
192	1.809857152
193	1.809655939
194	1.809495378
195	1.809202649
196	1.808970979
197	1.808761443
198	1.808610705
199	1.80833462
200	1.808127065
201	1.808019763
202	1.807712807
203	1.807561379
204	1.807310366
205	1.807156999
206	1.807133619
207	1.807009604
208	1.806753515
209	1.806641096
210	1.806501787
211	1.806440055
212	1.806380573
213	1.806227012
214	1.806060058
215	1.805956387
216	1.805733753
217	1.805450228
218	1.805288789
219	1.805157232
220	1.804953174
221	1.804736368
222	1.804555524
223	1.804345896
224	1.804261574
225	1.804178031
226	1.803927162
227	1.803821312
228	1.80356749
229	1.803432179
230	1.803356062
231	1.803325698
232	1.803212895
233	1.803032004
234	1.802874448
235	1.802798026
236	1.802591032
237	1.802372467
238	1.802226946
239	1.802026753
240	1.801894004
241	1.801829312
242	1.801584071
243	1.80138254
244	1.801214203
245	1.801089406
246	1.801053919
247	1.800919266
248	1.800807181
249	1.800585079
250	1.800511101
251	1.800465404
252	1.800269719
253	1.800146496
254	1.800074862
255	1.800034415
256	1.799942764
257	1.799748157
258	1.799570413
259	1.799413187
260	1.799322184
261	1.799060437
262	1.798820594
263	1.798707971
264	1.798469052
265	1.798413856
266	1.798226031
267	1.798098539
268	1.797778286
269	1.797586267
270	1.797484069
271	1.797286922
272	1.797177888
273	1.796896768
274	1.796790425
275	1.796571692
276	1.796398705
277	1.796293794
278	1.796075256
279	1.795937727
280	1.795741703
281	1.795598624
282	1.795366426
283	1.795285394
284	1.795123371
285	1.794983277
286	1.794817169
287	1.794702509
288	1.794599166
289	1.794522576
290	1.794274655
291	1.794119989
292	1.794021358
293	1.793960014
294	1.793724534
295	1.793566305
296	1.793404138
297	1.793187263
298	1.793132294
299	1.792952489
300	1.792937145
301	1.792780195
302	1.792632948
303	1.792390545
304	1.79222989
305	1.792090574
306	1.791874696
307	1.791687554
308	1.791583942
309	1.791461397
310	1.791305523
311	1.791210916
312	1.790933173
313	1.790725404
314	1.790532814
315	1.790425754
316	1.790384934
317	1.790331299
318	1.790246356
319	1.790048205
320	1.789824042
321	1.789707082
322	1.789509078
323	1.789274236
324	1.789073797
325	1.788933287
326	1.788745547
327	1.788606234
328	1.788401407
329	1.788300799
330	1.788059869
331	1.788040054
332	1.787814829
333	1.787620645
334	1.787589741
335	1.787487765
336	1.787327063
337	1.787149592
338	1.7870659
339	1.786876397
340	1.786714834
341	1.786560763
342	1.78643416
343	1.786277266
344	1.786151392
345	1.786056772
346	1.785828382
347	1.785672241
348	1.785521524
349	1.785411137
350	1.785350203
351	1.785220168
352	1.785205734
353	1.785153606
354	1.785023341
355	1.78493746
356	1.784843278
357	1.784749683
358	1.784483592
359	1.78419565
360	1.784058886
361	1.784002318
362	1.783894031
363	1.783861473
364	1.783651622
365	1.783471229
366	1.783289545
367	1.783117825
368	1.782971909
369	1.782782062
370	1.782445989
371	1.782354961
372	1.782199012
373	1.78199281
374	1.781797388
375	1.781628806
376	1.78142577
377	1.781242061
378	1.781217449
379	1.781142774
380	1.780968783
381	1.780872695
382	1.78071252
383	1.780611521
384	1.780441358
385	1.780370753
386	1.780147076
387	1.779986558
388	1.779707558
389	1.779530849
390	1.779372879
391	1.779199505
392	1.779095904
393	1.77899305
394	1.778870103
395	1.778781936
396	1.778632722
397	1.778457468
398	1.778245228
399	1.778050087
400	1.777856436
401	1.777605492
402	1.777403373
403	1.777307349
404	1.777230134
405	1.777155017
406	1.776999549
407	1.776845498
408	1.776628433
409	1.776483141
410	1.776279981
411	1.776122898
412	1.776027466
413	1.775987457
414	1.775721666
415	1.775561628
416	1.775397853
417	1.775313757
418	1.775148801
419	1.774995847
420	1.77482604
421	1.774680684
422	1.774565071
423	1.774526686
424	1.774390827
425	1.774199396
426	1.774020363
427	1.773894309
428	1.773767998
429	1.773651547
430	1.773524775
431	1.773454823
432	1.773351086
433	1.773319471
434	1.773186751
435	1.773048233
436	1.772882005
437	1.772619564
438	1.772560631
439	1.772385489
440	1.772303148
441	1.772253243
442	1.772018939
443	1.771877568
444	1.771707558
445	1.771538571
446	1.771441371
447	1.771297173
448	1.771272727
449	1.771161078
450	1.770919814
451	1.770704283
452	1.770615576
453	1.770430892
454	1.770323532
455	1.770224844
456	1.770085829
457	1.769846832
458	1.769720477
459	1.769634322
460	1.769462642
461	1.76941624
462	1.769192586
463	1.768970026
464	1.768753797
465	1.768692903
466	1.768596818
467	1.76846532
468	1.768328587
469	1.76825489
470	1.768162782
471	1.768029929
472	1.767950397
473	1.767760225
474	1.767658583
475	1.767464435
476	1.767421234
477	1.767320859
478	1.767212654
479	1.767137705
480	1.767120624
481	1.766986007
482	1.766847739
483	1.766758601
484	1.766612408
485	1.766470432
486	1.766223283
487	1.766128785
488	1.765995044
489	1.765885928
490	1.765775972
491	1.765616182
492	1.765430818
493	1.765310852
494	1.765161331
495	1.765027249
496	1.764852746
497	1.764720065
498	1.764516855
499	1.764504112
500	1.764423245
501	1.764238797
502	1.764128745
503	1.763936842
504	1.763831715
505	1.763680354
506	1.763496099
507	1.763346297
508	1.763197308
509	1.763158745
510	1.762961635
511	1.762738933
512	1.762628926
513	1.762470315
514	1.762364431
515	1.76233176
516	1.762118136
517	1.762023609
518	1.761846256
519	1.761760353
520	1.76159897
521	1.761576863
522	1.761381807
523	1.761360779
524	1.76107951
525	1.760912353
526	1.760896327
527	1.760704837
528	1.760547059
529	1.760394512
530	1.760207253
531	1.760004682
532	1.759897879
533	1.759808411
534	1.759752925
535	1.759639777
536	1.759501116
537	1.759445581
538	1.759244108
539	1.759095795
540	1.758920388
541	1.758760717
542	1.758598454
543	1.758376417
544	1.758287562
545	1.758109062
546	1.757930455
547	1.757661983
548	1.757498844
549	1.757375377
550	1.757215331
551	1.757022385
552	1.756929047
