iter	Passed	Remaining
0	12	12348
1	22	11128
2	30	10167
3	39	9789
4	47	9445
5	55	9190
6	63	8990
7	71	8820
8	79	8717
9	87	8613
10	94	8511
11	102	8436
12	109	8346
13	117	8292
14	125	8240
15	133	8183
16	141	8160
17	149	8142
18	157	8108
19	164	8073
20	172	8062
21	181	8068
22	189	8069
23	198	8060
24	207	8096
25	216	8102
26	224	8086
27	232	8077
28	240	8057
29	248	8027
30	256	8016
31	264	8004
32	272	7996
33	280	7977
34	288	7953
35	296	7934
36	302	7881
37	310	7862
38	318	7848
39	326	7834
40	335	7838
41	342	7820
42	350	7797
43	357	7774
44	365	7760
45	373	7739
46	380	7723
47	388	7710
48	396	7695
49	405	7704
50	413	7692
51	421	7678
52	428	7665
53	436	7645
54	443	7626
55	451	7611
56	459	7594
57	466	7582
58	474	7567
59	481	7550
60	489	7532
61	497	7519
62	504	7498
63	512	7490
64	520	7483
65	528	7472
66	535	7457
67	543	7445
68	551	7437
69	558	7417
70	566	7413
71	574	7403
72	582	7390
73	589	7382
74	597	7367
75	605	7360
76	612	7339
77	619	7326
78	626	7309
79	634	7296
80	641	7282
81	649	7271
82	656	7257
83	664	7245
84	672	7237
85	679	7224
86	687	7219
87	695	7211
88	703	7201
89	711	7196
90	719	7191
91	726	7174
92	734	7163
93	741	7149
94	746	7111
95	754	7101
96	761	7087
97	768	7077
98	776	7065
99	784	7056
100	791	7044
101	800	7045
102	808	7041
103	816	7033
104	823	7020
105	831	7010
106	838	6996
107	845	6986
108	853	6974
109	860	6966
110	868	6956
111	876	6947
112	884	6941
113	892	6932
114	899	6925
115	907	6917
116	915	6907
117	922	6896
118	929	6884
119	937	6874
120	944	6862
121	952	6853
122	959	6844
123	967	6832
124	974	6824
125	982	6814
126	989	6804
127	997	6796
128	1005	6791
129	1013	6782
130	1020	6771
131	1029	6766
132	1037	6762
133	1045	6759
134	1053	6748
135	1061	6744
136	1068	6733
137	1076	6723
138	1084	6716
139	1091	6707
140	1098	6693
141	1106	6684
142	1113	6674
143	1121	6668
144	1129	6658
145	1136	6649
146	1144	6641
147	1151	6630
148	1158	6617
149	1166	6608
150	1173	6599
151	1182	6597
152	1190	6592
153	1197	6580
154	1205	6574
155	1212	6562
156	1219	6549
157	1227	6542
158	1235	6533
159	1242	6523
160	1249	6513
161	1257	6505
162	1265	6497
163	1272	6488
164	1280	6481
165	1288	6471
166	1295	6461
167	1302	6452
168	1310	6443
169	1317	6431
170	1324	6423
171	1332	6414
172	1339	6403
173	1347	6394
174	1355	6389
175	1362	6378
176	1369	6367
177	1376	6358
178	1384	6350
179	1391	6339
180	1398	6328
181	1405	6315
182	1411	6303
183	1420	6297
184	1427	6289
185	1435	6281
186	1443	6273
187	1450	6264
188	1457	6253
189	1464	6243
190	1471	6232
191	1478	6221
192	1485	6211
193	1492	6200
194	1499	6190
195	1506	6179
196	1513	6169
197	1520	6159
198	1527	6148
199	1534	6138
200	1541	6128
201	1549	6120
202	1556	6112
203	1564	6103
204	1572	6097
205	1579	6088
206	1586	6078
207	1593	6067
208	1600	6059
209	1607	6047
210	1615	6039
211	1622	6029
212	1629	6020
213	1636	6011
214	1644	6005
215	1652	5998
216	1660	5993
217	1668	5984
218	1675	5974
219	1683	5967
220	1690	5957
221	1697	5947
222	1704	5938
223	1711	5929
224	1718	5920
225	1725	5910
226	1733	5903
227	1741	5896
228	1748	5887
229	1756	5880
230	1763	5870
231	1770	5861
232	1778	5853
233	1786	5848
234	1793	5839
235	1800	5829
236	1807	5819
237	1815	5811
238	1822	5804
239	1830	5796
240	1838	5788
241	1845	5780
242	1853	5775
243	1861	5766
244	1868	5758
245	1876	5751
246	1883	5742
247	1891	5734
248	1898	5725
249	1906	5718
250	1913	5710
251	1920	5701
252	1928	5693
253	1936	5686
254	1943	5678
255	1951	5670
256	1958	5662
257	1966	5656
258	1974	5649
259	1982	5643
260	1990	5636
261	1998	5630
262	2006	5623
263	2014	5615
264	2022	5609
265	2030	5602
266	2039	5598
267	2047	5592
268	2055	5584
269	2061	5574
270	2068	5564
271	2075	5556
272	2083	5547
273	2090	5540
274	2097	5530
275	2105	5522
276	2112	5514
277	2121	5509
278	2129	5501
279	2136	5494
280	2144	5487
281	2152	5480
282	2160	5472
283	2168	5466
284	2175	5458
285	2183	5452
286	2191	5443
287	2198	5435
288	2206	5427
289	2212	5417
290	2220	5410
291	2228	5404
292	2236	5397
293	2244	5390
294	2253	5385
295	2261	5377
296	2268	5369
297	2276	5362
298	2283	5354
299	2291	5346
300	2297	5335
301	2304	5327
302	2312	5318
303	2319	5310
304	2326	5302
305	2333	5292
306	2341	5284
307	2349	5277
308	2356	5270
309	2364	5262
310	2371	5254
311	2378	5245
312	2386	5237
313	2393	5228
314	2400	5220
315	2408	5213
316	2415	5204
317	2422	5196
318	2430	5188
319	2437	5180
320	2445	5173
321	2453	5166
322	2461	5159
323	2468	5151
324	2477	5144
325	2484	5137
326	2493	5131
327	2501	5124
328	2509	5117
329	2517	5110
330	2524	5102
