id,FloodProbability
90615,9.732927
90616,9.671289
90617,10.367495
90618,10.330674
90619,7.605369
90620,9.565839
90621,11.319026
90622,6.281127
90623,7.9646797
90624,11.341379
90625,12.057936
90626,6.0561996
90627,10.275806
90628,13.9549265
90629,7.4773645
90630,7.3466916
90631,12.632794
90632,5.683296
90633,9.867711
90634,10.309822
90635,6.22688
90636,7.33999
90637,9.632513
90638,8.731064
90639,9.712266
90640,10.3751335
90641,8.354076
90642,10.32097
90643,5.6302147
90644,10.852252
90645,10.258573
90646,9.031882
90647,11.52927
90648,12.7625475
90649,13.90914
90650,9.964091
90651,9.139016
90652,8.431414
90653,12.269791
90654,6.26434
90655,8.180968
90656,10.438826
90657,8.3451185
90658,6.8690505
90659,9.641033
90660,7.199721
90661,8.3165
90662,7.4053407
90663,9.414102
90664,7.6453347
90665,13.862599
90666,9.013177
90667,5.7391286
90668,9.937712
90669,9.950484
90670,9.581002
90671,10.812347
90672,8.901687
90673,12.884042
90674,7.510948
90675,5.447774
90676,11.652546
90677,11.136523
90678,4.6953254
90679,9.236845
90680,9.875562
90681,9.838503
90682,15.954105
90683,10.367798
90684,11.778564
90685,11.073884
90686,7.0666494
90687,10.29901
90688,9.168667
90689,10.71227
90690,19.425474
90691,8.109258
90692,10.922584
90693,12.347409
90694,9.3505535
90695,8.958387
90696,9.801976
90697,7.388036
90698,9.451131
90699,5.18184
90700,11.1071205
90701,10.56089
90702,9.885945
90703,12.032314
90704,4.9033337
90705,11.699126
90706,11.499224
90707,6.172038
90708,8.431833
90709,9.415032
90710,9.635498
90711,9.40236
90712,9.049263
90713,14.888698
90714,7.2047825
90715,8.646452
90716,7.0731697
90717,9.277166
90718,4.3266344
90719,5.594074
90720,11.040351
90721,9.24967
90722,8.760468
90723,7.9153557
90724,9.8482
90725,6.7045465
90726,7.6486053
90727,8.589949
90728,10.419201
90729,10.36528
90730,10.371058
90731,5.741657
90732,8.038202
90733,10.968544
90734,9.173038
90735,7.9973984
90736,7.605459
90737,5.7163143
90738,6.989252
90739,16.036716
90740,10.673289
90741,5.595812
90742,9.239633
90743,12.425592
90744,7.1820235
90745,8.365331
90746,8.122
90747,4.2193737
90748,14.040916
90749,9.418022
90750,4.105633
90751,7.2128854
90752,8.524325
90753,8.283555
90754,9.088586
90755,8.721293
90756,8.990804
90757,11.7305155
90758,8.917516
90759,7.493724
90760,7.7861567
90761,10.139867
90762,9.074521
90763,9.148362
90764,13.685424
90765,10.774838
90766,7.5237427
90767,14.6399355
90768,12.694781
90769,6.1450667
90770,10.752596
90771,10.6486435
90772,5.83659
90773,8.048674
90774,7.544088
90775,9.588922
90776,7.564663
90777,12.037605
90778,10.395274
90779,10.147774
90780,10.655084
90781,11.096377
90782,7.9489965
90783,11.781447
90784,6.8690505
90785,8.325042
90786,6.172038
90787,9.107297
90788,4.1131363
90789,11.78594
90790,8.636079
90791,6.844812
90792,6.8348403
90793,6.6685405
90794,5.8184047
90795,11.464951
90796,10.930314
90797,10.144558
90798,11.566757
90799,8.339214
90800,16.037302
90801,10.489358
90802,6.931119
90803,11.252981
90804,17.371351
90805,10.6543255
90806,8.680545
90807,10.505815
90808,9.696069
90809,12.264779
90810,9.360478
90811,9.276241
90812,6.1478863
90813,9.931816
90814,7.478938
90815,8.001765
90816,5.514933
90817,9.819365
90818,9.2947
90819,7.016288
90820,6.929216
90821,9.99148
90822,6.970627
90823,5.731317
90824,12.730323
90825,8.121801
90826,5.593613
90827,4.105633
90828,10.208072
90829,11.632646
90830,9.4298525
90831,8.361719
90832,9.268741
90833,11.491184
90834,10.336431
90835,9.58666
90836,8.995511
90837,5.3600225
90838,10.828727
90839,8.059167
90840,9.284373
90841,11.210751
90842,12.573015
90843,10.923877
90844,13.463021
90845,11.104461
90846,11.573578
90847,7.0279994
90848,9.816291
90849,9.486108
90850,8.982627
90851,14.159006
90852,6.2151694
90853,11.270626
90854,11.550105
90855,6.983692
90856,8.985724
90857,10.922472
90858,11.66686
90859,10.4057255
90860,12.861768
90861,9.600046
90862,11.246571
90863,8.790362
90864,8.62587
90865,14.828759
90866,15.366491
90867,11.912516
90868,12.269006
90869,8.160242
90870,12.607067
90871,11.739412
90872,15.739898
90873,7.8713827
90874,14.429784
90875,8.559365
90876,10.649384
90877,9.3902235
90878,8.016449
90879,8.969584
90880,8.247148
90881,12.731717
90882,10.583393
90883,11.56571
90884,13.337397
90885,10.507624
90886,13.404609
90887,5.741769
90888,9.411479
90889,13.24368
90890,10.597838
90891,11.109688
90892,10.10822
90893,4.264714
90894,11.558055
90895,11.263458
90896,6.542439
90897,5.5411973
90898,5.9599824
90899,14.055129
90900,11.402006
90901,12.09969
90902,8.444953
90903,6.8348403
90904,7.1728725
90905,7.9400263
