Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1726.9809533078412
FDW14,OUT017,1273.6016700633345
NCN55,OUT010,560.6897197697588
FDQ58,OUT017,2371.5837820128068
FDY38,OUT027,5674.000632291523
FDH56,OUT046,1788.296037972263
FDL48,OUT018,605.6472846032823
FDC48,OUT027,2026.4354154454743
FDN33,OUT045,1460.3917318920749
FDA36,OUT017,2931.0440618864213
FDT44,OUT017,1827.0553774989141
FDQ56,OUT045,1440.6994845487789
NCC54,OUT019,835.8329178403187
FDU11,OUT049,2171.726434501945
DRL59,OUT013,750.904548362653
FDM24,OUT049,2437.089590225918
FDI57,OUT045,3642.619843949622
DRC12,OUT018,2857.4450604754966
NCM42,OUT027,2451.3315574114213
FDA46,OUT010,950.5542796750428
FDA31,OUT013,3003.7372287366115
NCJ31,OUT035,3596.1779321799895
FDG52,OUT046,785.0538314862665
NCL19,OUT019,371.86140832311
FDS10,OUT035,3057.9684020674613
FDX22,OUT010,590.8384392647281
NCF19,OUT035,907.8285676626847
NCE06,OUT046,2490.4671492811894
DRC27,OUT046,3957.4889397135285
FDE21,OUT035,2016.5448293882312
NCR42,OUT019,1.7962237017727603
FDX51,OUT018,2943.8557828050593
NCR06,OUT018,415.57642470151154
FDU31,OUT027,5540.115941808658
FDU59,OUT017,2068.051961903802
FDR03,OUT027,5480.032383324453
FDS49,OUT027,2624.101152217078
FDD48,OUT010,268.2969498812497
NCF18,OUT017,3572.5600607661936
NCD43,OUT027,2289.4598196329475
NCD54,OUT018,2046.4706750586845
FDY19,OUT010,150.78566565889219
NCY54,OUT017,2571.154428912436
NCL19,OUT018,1964.1557986931005
FDP23,OUT010,453.972127155055
FDC26,OUT013,1960.5096231894354
FDR14,OUT010,91.72026467293153
NCS41,OUT035,3366.773206820384
FDF41,OUT035,3962.1359575397873
FDU34,OUT046,2103.357885511963
DRH11,OUT046,1153.043030577195
FDM03,OUT013,1925.5273861126261
FDS31,OUT017,3209.3239334159834
FDJ20,OUT017,1904.622425374063
FDV44,OUT027,5126.327744205787
FDG02,OUT049,2834.5338111406345
FDA09,OUT013,3733.2756832341524
FDT04,OUT013,605.9517859465147
FDL58,OUT019,403.59024983044696
FDE52,OUT045,1311.395759745028
FDW12,OUT035,2459.0266280719366
FDL51,OUT017,3506.705968157936
NCY42,OUT027,2994.77755698274
FDR07,OUT017,1303.887791819585
FDN40,OUT045,2095.996425323674
FDB35,OUT027,2501.4528043109153
FDA22,OUT017,2728.7089815017675
NCL06,OUT046,4674.091780880108
FDI35,OUT013,3601.44544282505
NCW42,OUT045,3514.9737899993834
NCX06,OUT049,3344.365151236301
FDC37,OUT027,2729.50692194312
FDZ14,OUT018,1973.776363114355
DRG49,OUT049,5488.52343313929
NCG06,OUT045,3260.8741058152855
DRC36,OUT045,2633.5996950025133
FDV21,OUT019,224.8028238757231
FDB53,OUT046,2827.6197722088364
DRP47,OUT019,1033.6956018948238
FDA14,OUT013,2055.7026373803365
DRC24,OUT035,2603.4411355962684
FDW21,OUT018,1345.8798220379872
NCH29,OUT046,1943.522217855729
FDU58,OUT013,3186.0234562535743
FDY27,OUT017,2411.1264371643892
FDV56,OUT035,1756.1032352424108
FDT59,OUT046,4676.01787886969
FDB23,OUT046,3666.9150493125226
FDR49,OUT045,841.2785004298034
FDB03,OUT010,618.7428559485411
FDN39,OUT045,2935.105529384839
FDX02,OUT027,5399.329093667094
FDQ16,OUT027,2921.196733975913
FDU35,OUT018,1694.8328568009988
NCT29,OUT013,1836.9327476201236
FDZ27,OUT046,735.216750837265
FDN57,OUT017,2020.7334600072388
FDA03,OUT018,1889.920847591648
FDZ36,OUT045,3172.521271467544
NCU05,OUT013,948.4388647362589
FDT39,OUT018,2070.970795297558
FDK60,OUT017,1639.074571962225
FDZ25,OUT017,3152.892206029167
FDG12,OUT046,2156.8576845096336
DRB01,OUT019,98.02510012015046
NCC43,OUT027,6348.798995977782
FDX13,OUT019,655.7022964986777
FDM22,OUT049,852.3375981241704
FDJ03,OUT027,1311.5268357915556
FDU14,OUT018,4345.516811716174
FDB33,OUT010,567.6051617153253
FDP27,OUT046,3370.0396916580476
FDO38,OUT010,308.8502186609992
FDE28,OUT027,5856.195773320764
FDO27,OUT035,1680.560613181168
DRL23,OUT027,2609.306159730859
FDS28,OUT046,876.8857077111938
FDX24,OUT013,1270.4561309308256
FDZ02,OUT035,1443.9429532122617
FDL46,OUT045,1620.851335864507
FDS60,OUT027,4785.575706914506
NCO06,OUT017,503.17181240596483
FDO16,OUT035,1495.472026450158
FDC60,OUT049,1733.3646213712227
FDA48,OUT018,3370.396933653761
FDZ36,OUT027,4069.536711570694
FDK27,OUT045,1874.5009692255815
FDW23,OUT018,773.8705565828559
FDM14,OUT018,1290.6955581711177
FDM14,OUT013,1538.578145267029
FDW60,OUT018,2362.287922415976
FDE21,OUT013,1858.9917388805718
NCM42,OUT035,1916.773569241128
FDY59,OUT010,76.80094762598537
DRI49,OUT049,1351.0578609844542
FDT28,OUT019,464.5349872859272
FDQ22,OUT018,465.55827544701447
FDR60,OUT049,1205.6869229944773
FDC50,OUT019,355.7404998247375
FDV24,OUT013,2395.3812157386774
DRF48,OUT010,109.64875153056619
FDQ47,OUT046,722.4854331274933
DRN36,OUT049,1651.7804220238795
NCY06,OUT035,2331.500425975711
FDE52,OUT035,1597.8128945347507
NCB54,OUT045,1734.7568326133603
NCF31,OUT035,2511.732970150563
FDJ08,OUT027,5446.100484535624
NCC07,OUT017,1748.7188354595373
NCD19,OUT027,1057.9558449117917
FDL46,OUT049,2133.4289817093886
FDM20,OUT045,4561.1253244732525
NCI06,OUT010,564.8328338985768
DRM11,OUT035,4957.818096529229
NCH07,OUT018,2452.4303234367912
FDS23,OUT013,2208.274047552791
FDO49,OUT018,439.60029256166536
