Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1551.593286029389
FDW14,OUT017,1287.804610387131
NCN55,OUT010,661.658171977821
FDQ58,OUT017,2390.8711255643043
FDY38,OUT027,6011.745596018735
FDH56,OUT046,1856.4606766825923
FDL48,OUT018,504.4929378421227
FDC48,OUT027,2150.4262243501003
FDN33,OUT045,1425.0869438996092
FDA36,OUT017,2953.5279222238623
FDT44,OUT017,1855.191397258045
FDQ56,OUT045,1379.30078703112
NCC54,OUT019,1088.5497888054615
FDU11,OUT049,2297.1094699099503
DRL59,OUT013,731.5908306520535
FDM24,OUT049,2380.288514941873
FDI57,OUT045,3822.631566274153
DRC12,OUT018,3063.048671500142
NCM42,OUT027,2315.8374950422076
FDA46,OUT010,868.2350439256529
FDA31,OUT013,3018.3842664477243
NCJ31,OUT035,3414.3269605319833
FDG52,OUT046,732.9151187935024
NCL19,OUT019,326.83773841299035
FDS10,OUT035,3156.6829384125276
FDX22,OUT010,561.7233700174831
NCF19,OUT035,890.3984888949406
NCE06,OUT046,2443.9218238868675
DRC27,OUT046,3939.970471431197
FDE21,OUT035,2076.0630477693585
NCR42,OUT019,0.0
FDX51,OUT018,2591.400653098439
NCR06,OUT018,396.9855958353219
FDU31,OUT027,5937.325386189068
FDU59,OUT017,2196.5404940386543
FDR03,OUT027,5864.747893082815
FDS49,OUT027,2629.72452870909
FDD48,OUT010,324.26246901346803
NCF18,OUT017,3305.011242710013
NCD43,OUT027,2403.610983848517
NCD54,OUT018,1944.8567468333845
FDY19,OUT010,146.83290993577612
NCY54,OUT017,2688.5326787091126
NCL19,OUT018,1976.21313469107
FDP23,OUT010,750.8663557930875
FDC26,OUT013,2019.9694020653744
FDR14,OUT010,0.0
NCS41,OUT035,3215.076169608005
FDF41,OUT035,3920.6104333862613
FDU34,OUT046,1983.023435796072
DRH11,OUT046,1103.0884600155807
FDM03,OUT013,1933.7190256414901
FDS31,OUT017,3360.23246457365
FDJ20,OUT017,1959.2140285209034
FDV44,OUT027,5326.414389427588
FDG02,OUT049,2909.673902771213
FDA09,OUT013,3662.9883216071794
FDT04,OUT013,597.1970605287315
FDL58,OUT019,193.78374116123246
FDE52,OUT045,1388.5879615249844
FDW12,OUT035,2663.427226588651
FDL51,OUT017,3395.170781237249
NCY42,OUT027,3057.4263552259517
FDR07,OUT017,1375.336584225061
FDN40,OUT045,2269.8284992389185
FDB35,OUT027,2619.5382576301163
FDA22,OUT017,2637.9528658428653
NCL06,OUT046,4434.6780573572205
FDI35,OUT013,3610.1178006273067
NCW42,OUT045,3515.620262996782
NCX06,OUT049,3144.991120465085
FDC37,OUT027,2729.2617180009584
FDZ14,OUT018,1807.683276137151
DRG49,OUT049,4357.235743351077
NCG06,OUT045,3195.7785455735416
DRC36,OUT045,2705.698598079887
FDV21,OUT019,321.8460237862141
FDB53,OUT046,2896.1201945158646
DRP47,OUT019,1106.279348342124
FDA14,OUT013,2136.8125568366295
DRC24,OUT035,2581.812071770055
FDW21,OUT018,1467.1627123852545
NCH29,OUT046,1963.4341929868108
FDU58,OUT013,2898.3312297939733
FDY27,OUT017,2563.764452140441
FDV56,OUT035,1677.871892459556
FDT59,OUT046,4824.010994149903
FDB23,OUT046,3621.5240453603283
FDR49,OUT045,806.5498459006394
FDB03,OUT010,569.1206690786319
FDN39,OUT045,2977.087607549074
FDX02,OUT027,5712.4740141389175
FDQ16,OUT027,2817.6909027251913
FDU35,OUT018,1785.9268882811314
NCT29,OUT013,1871.2016960099102
FDZ27,OUT046,670.1603542927903
FDN57,OUT017,2005.982637222878
FDA03,OUT018,1872.496118150093
FDZ36,OUT045,3274.856633682977
NCU05,OUT013,905.3490412318256
FDT39,OUT018,1858.1874254933177
FDK60,OUT017,1592.6739919914112
FDZ25,OUT017,3079.999971423465
FDG12,OUT046,2136.602715219906
DRB01,OUT019,287.5917906936784
NCC43,OUT027,5990.709298406535
FDX13,OUT019,560.6534528821344
FDM22,OUT049,822.2372557737858
FDJ03,OUT027,1364.5878419947849
FDU14,OUT018,5283.686716489819
FDB33,OUT010,502.53034604957156
FDP27,OUT046,3286.9537282160354
FDO38,OUT010,191.39776282989783
FDE28,OUT027,6139.28851446303
FDO27,OUT035,1671.4460764159896
DRL23,OUT027,2652.2363513302216
FDS28,OUT046,857.41234928015
FDX24,OUT013,1302.8936509634739
FDZ02,OUT035,1502.3276126358041
FDL46,OUT045,1588.9040360651975
FDS60,OUT027,4634.081376643133
NCO06,OUT017,507.277263082756
FDO16,OUT035,1534.3324393026044
FDC60,OUT049,1471.7980048725967
FDA48,OUT018,3331.432482572801
FDZ36,OUT027,4723.906555968781
FDK27,OUT045,1816.74131709791
FDW23,OUT018,667.4448785985787
FDM14,OUT018,1465.5508751016732
FDM14,OUT013,1488.2259371664913
FDW60,OUT018,2456.301814623992
FDE21,OUT013,1871.770519522442
NCM42,OUT035,1820.682445392843
FDY59,OUT010,58.86658153281405
DRI49,OUT049,1197.1994738976086
FDT28,OUT019,435.30977275605073
