iter	RMSE
0	1601.523462
1	1539.526803
2	1483.420119
3	1432.727833
4	1389.245897
5	1351.172279
6	1317.550263
7	1285.339326
8	1258.054174
9	1234.750635
10	1215.274615
11	1197.165578
12	1182.474928
13	1169.958746
14	1158.493971
15	1148.962947
16	1139.403127
17	1131.343269
18	1124.80254
19	1118.297132
20	1113.017521
21	1108.211029
22	1104.348394
23	1100.766539
24	1097.821181
25	1095.245785
26	1092.551546
27	1090.811163
28	1088.971895
29	1087.522542
30	1086.094266
31	1084.913148
32	1083.795644
33	1082.793853
34	1082.11324
35	1081.396646
36	1080.565133
37	1079.58087
38	1079.120621
39	1078.560408
40	1078.125452
41	1077.606331
42	1077.122851
43	1076.805261
44	1076.126111
45	1075.613243
46	1074.975829
47	1074.500765
48	1073.990231
49	1073.35644
