Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1722.018602337457
FDW14,OUT017,1475.2287801419347
NCN55,OUT010,510.5387447136882
FDQ58,OUT017,2415.9314995940426
FDY38,OUT027,5794.298594377737
FDH56,OUT046,1818.2626678965223
FDL48,OUT018,625.4704169196764
FDC48,OUT027,2539.9110460067795
FDN33,OUT045,1465.9431003397892
FDA36,OUT017,2942.4899085765974
FDT44,OUT017,1779.504233517485
FDQ56,OUT045,1388.29650496134
NCC54,OUT019,876.5089682662456
FDU11,OUT049,2101.5235429873724
DRL59,OUT013,801.8328692262569
FDM24,OUT049,2452.3644132317672
FDI57,OUT045,3264.6298844831244
DRC12,OUT018,3055.484543541093
NCM42,OUT027,2800.252506911531
FDA46,OUT010,671.1225379932519
FDA31,OUT013,2857.1363940668994
NCJ31,OUT035,3796.0500562427874
FDG52,OUT046,729.9265911450129
NCL19,OUT019,314.0634878669664
FDS10,OUT035,3049.0012183801055
FDX22,OUT010,454.18427224965967
NCF19,OUT035,903.3223981858894
NCE06,OUT046,2527.5277582696
DRC27,OUT046,3864.9445527506286
FDE21,OUT035,2055.5107931268894
NCR42,OUT019,288.67323157520514
FDX51,OUT018,2987.3256633845076
NCR06,OUT018,665.6265321299629
FDU31,OUT027,5195.2037258902465
FDU59,OUT017,2536.936502045312
FDR03,OUT027,5378.3045685461875
FDS49,OUT027,2582.0217075388705
FDD48,OUT010,386.9935264427961
NCF18,OUT017,3121.973562414863
NCD43,OUT027,2602.5295115300237
NCD54,OUT018,2042.9545141950182
FDY19,OUT010,383.18900556671883
NCY54,OUT017,2858.410485131092
NCL19,OUT018,2045.000138622398
FDP23,OUT010,484.64679548087906
FDC26,OUT013,1797.6730001472295
FDR14,OUT010,391.03984690049924
NCS41,OUT035,3102.370696223461
FDF41,OUT035,3873.409013235897
FDU34,OUT046,2053.4977961611175
DRH11,OUT046,833.4004714877503
FDM03,OUT013,1697.6515396448494
FDS31,OUT017,3085.724706880925
