Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1817.941109673801
FDW14,OUT017,1374.075343482044
NCN55,OUT010,627.3598750337169
FDQ58,OUT017,2356.17853895795
FDY38,OUT027,6457.732144374488
FDH56,OUT046,1927.4117382603233
FDL48,OUT018,641.0421551839022
FDC48,OUT027,2291.123663436094
FDN33,OUT045,1512.6184704995874
FDA36,OUT017,3301.784344661776
FDT44,OUT017,1912.6327487867939
FDQ56,OUT045,1381.7449520555988
NCC54,OUT019,660.8018093940327
FDU11,OUT049,2241.2320876992953
DRL59,OUT013,760.6574657064696
FDM24,OUT049,2399.3926498428054
FDI57,OUT045,3178.0240482648082
DRC12,OUT018,3425.6795071383403
NCM42,OUT027,2296.0528273621117
FDA46,OUT010,718.436648871512
FDA31,OUT013,2803.60193880349
NCJ31,OUT035,3962.525670515264
FDG52,OUT046,754.720249062234
NCL19,OUT019,364.4979656818923
FDS10,OUT035,2987.5642385036504
FDX22,OUT010,558.1581806532727
NCF19,OUT035,870.8084867832449
NCE06,OUT046,2489.6626381362917
DRC27,OUT046,3186.742980491626
FDE21,OUT035,1994.0366226872063
NCR42,OUT019,134.28852693770204
FDX51,OUT018,2780.538978678191
NCR06,OUT018,479.56611542591304
FDU31,OUT027,5911.093084062639
FDU59,OUT017,2340.9007759926953
FDR03,OUT027,5396.628501772088
FDS49,OUT027,2271.7223246721555
FDD48,OUT010,270.85190410769496
NCF18,OUT017,2907.146882945039
NCD43,OUT027,2801.3263087511873
NCD54,OUT018,1904.3844025319709
FDY19,OUT010,210.36039368302204
NCY54,OUT017,2565.433276807135
NCL19,OUT018,1962.7792297212347
FDP23,OUT010,461.51474683119136
FDC26,OUT013,1925.2645757004395
FDR14,OUT010,83.04726686329923
NCS41,OUT035,3337.4973298741324
FDF41,OUT035,3085.9017500562877
FDU34,OUT046,1930.533901074246
DRH11,OUT046,947.0026285470922
FDM03,OUT013,1949.9109980537482
FDS31,OUT017,3320.0828584698074
FDJ20,OUT017,2398.739660841613
FDV44,OUT027,4962.579823334281
FDG02,OUT049,3124.3240407746616
FDA09,OUT013,3425.7872627566576
FDT04,OUT013,536.7232940924566
FDL58,OUT019,51.22978452738562
FDE52,OUT045,1364.1035870238156
FDW12,OUT035,2696.283600564059
FDL51,OUT017,3237.113631954787
NCY42,OUT027,3080.554633796256
FDR07,OUT017,1498.2783123010583
FDN40,OUT045,1743.597475636916
FDB35,OUT027,2533.0366411662285
FDA22,OUT017,2938.49725272639
NCL06,OUT046,3367.8254468638806
FDI35,OUT013,3604.5164674089933
NCW42,OUT045,3336.818124167252
NCX06,OUT049,3741.0971240869117
FDC37,OUT027,2657.9228566797574
FDZ14,OUT018,1747.0843489935887
DRG49,OUT049,3491.30794087892
NCG06,OUT045,3162.483508526336
DRC36,OUT045,2590.2739984371806
FDV21,OUT019,355.69284058472726
