Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1882.9717512918014
FDW14,OUT017,1327.505479521507
NCN55,OUT010,626.8371082682322
FDQ58,OUT017,2552.9074262287245
FDY38,OUT027,4952.152209873335
FDH56,OUT046,1909.51384364284
FDL48,OUT018,609.6897256047687
FDC48,OUT027,2325.8637810186165
FDN33,OUT045,1594.7261673207813
FDA36,OUT017,2726.9955935317844
FDT44,OUT017,1924.0126447367809
FDQ56,OUT045,1533.721163145679
NCC54,OUT019,503.62119377569957
FDU11,OUT049,1941.8503064676738
DRL59,OUT013,679.0214224549054
FDM24,OUT049,2352.8625119733906
FDI57,OUT045,2847.748481625026
DRC12,OUT018,3163.121215935566
NCM42,OUT027,3000.8700299803954
FDA46,OUT010,672.8442506997203
FDA31,OUT013,2827.808034044059
NCJ31,OUT035,3392.289637191147
FDG52,OUT046,705.1378579120983
NCL19,OUT019,294.55792761768475
FDS10,OUT035,3057.11491199339
FDX22,OUT010,350.0735032789405
NCF19,OUT035,791.9197777422391
NCE06,OUT046,2204.5813811946623
DRC27,OUT046,3510.4586118641046
FDE21,OUT035,2137.3153039733947
NCR42,OUT019,103.46576241401499
FDX51,OUT018,2997.9822533164743
NCR06,OUT018,497.9946786426499
FDU31,OUT027,4976.906874828422
FDU59,OUT017,2541.455558754426
FDR03,OUT027,5993.932842075716
FDS49,OUT027,2258.856903996591
FDD48,OUT010,206.60625990459607
NCF18,OUT017,2937.8162929650357
NCD43,OUT027,2772.184827541577
NCD54,OUT018,1938.3037540814958
FDY19,OUT010,176.55623017840026
NCY54,OUT017,2824.721603734519
NCL19,OUT018,1912.684655641396
FDP23,OUT010,593.2744260537586
FDC26,OUT013,1999.8624409548179
FDR14,OUT010,148.23291882994772
NCS41,OUT035,3246.931974177234
FDF41,OUT035,3420.318858496724
FDU34,OUT046,2027.6977018302157
DRH11,OUT046,935.6659413142097
FDM03,OUT013,1900.9732381178544
FDS31,OUT017,3162.7717451262606
FDJ20,OUT017,2052.640684964708
