iter	Passed	Remaining
0	61	61197
1	118	59370
2	173	57609
3	218	54301
4	256	51091
5	307	50979
6	351	49837
7	402	49935
8	447	49320
9	487	48243
10	528	47551
11	574	47304
12	620	47083
13	662	46641
14	712	46805
15	753	46317
16	795	45973
17	854	46607
18	900	46491
19	946	46395
20	989	46111
21	1032	45916
22	1084	46077
23	1135	46195
24	1180	46044
25	1226	45929
26	1286	46376
27	1326	46055
28	1372	45954
29	1430	46243
30	1475	46128
31	1544	46734
32	1596	46792
33	1644	46719
34	1686	46488
35	1730	46327
36	1776	46245
37	1824	46198
38	1882	46379
39	1941	46592
40	1994	46644
41	2045	46659
42	2099	46717
43	2146	46626
44	2192	46539
45	2237	46394
46	2281	46255
47	2325	46115
48	2370	46001
49	2409	45779
50	2452	45632
51	2499	45566
52	2545	45485
53	2593	45430
54	2640	45362
55	2686	45290
56	2734	45238
57	2781	45175
58	2828	45110
59	2875	45047
60	2926	45053
61	2976	45024
62	3018	44890
63	3061	44768
64	3107	44700
65	3160	44732
66	3212	44737
67	3263	44735
68	3311	44682
69	3359	44628
70	3416	44699
71	3473	44772
72	3517	44666
73	3570	44678
74	3633	44809
75	3692	44892
76	3743	44873
77	3788	44787
78	3827	44621
79	3872	44536
80	3924	44529
81	3974	44490
82	4024	44458
83	4072	44411
84	4118	44335
85	4167	44287
86	4213	44214
87	4274	44302
88	4321	44237
89	4373	44224
90	4419	44149
91	4481	44226
92	4538	44267
93	4586	44205
94	4642	44227
95	4698	44244
96	4755	44267
97	4814	44317
98	4870	44329
99	4931	44386
100	4994	44454
101	5042	44390
102	5107	44481
103	5153	44395
104	5196	44295
105	5257	44343
106	5307	44297
107	5355	44230
108	5402	44158
109	5457	44158
110	5505	44094
111	5554	44037
112	5600	43964
113	5648	43902
114	5698	43851
115	5751	43828
116	5804	43806
117	5855	43765
118	5900	43685
119	5959	43702
120	6019	43727
121	6064	43646
122	6113	43593
123	6156	43494
124	6202	43420
125	6275	43526
126	6321	43456
127	6365	43364
128	6413	43305
129	6472	43316
130	6526	43293
131	6573	43226
132	6614	43116
133	6666	43081
134	6713	43019
135	6758	42938
136	6802	42849
137	6846	42768
138	6897	42727
139	6950	42698
140	6995	42618
141	7038	42531
142	7081	42441
143	7127	42369
144	7172	42291
145	7230	42291
146	7288	42295
147	7332	42210
148	7383	42168
149	7438	42150
150	7492	42129
151	7549	42117
152	7597	42060
153	7653	42043
154	7698	41966
155	7763	42000
156	7808	41925
157	7855	41861
158	7907	41822
159	7957	41775
160	7997	41676
161	8041	41595
162	8087	41526
163	8137	41481
164	8179	41391
165	8220	41299
166	8260	41205
167	8308	41145
168	8350	41061
169	8398	41003
170	8442	40928
171	8499	40913
172	8549	40869
173	8594	40799
174	8652	40790
175	8706	40764
176	8750	40687
177	8794	40612
178	8838	40537
179	8883	40469
180	8926	40392
181	8971	40321
182	9026	40298
183	9087	40300
184	9135	40247
185	9178	40167
186	9224	40102
187	9286	40111
188	9341	40086
189	9384	40009
190	9425	39920
191	9467	39840
192	9515	39786
193	9561	39722
194	9611	39679
195	9661	39630
196	9702	39547
197	9749	39491
198	9792	39415
199	9847	39389
200	9896	39337
201	9944	39283
202	10002	39269
203	10068	39285
204	10120	39246
205	10166	39186
206	10213	39126
207	10276	39129
208	10326	39082
209	10383	39060
210	10430	39002
211	10490	38991
212	10542	38954
213	10604	38947
214	10647	38877
215	10688	38796
216	10747	38780
217	10812	38787
218	10856	38716
219	10899	38642
220	10936	38551
221	10983	38491
222	11034	38449
223	11082	38392
224	11126	38323
225	11163	38233
226	11204	38155
227	11264	38142
228	11310	38079
229	11354	38011
230	11403	37961
231	11450	37906
232	11488	37819
233	11535	37761
234	11595	37746
235	11647	37705
236	11721	37737
237	11772	37690
238	11835	37685
239	11881	37623
240	11929	37570
241	11981	37527
242	12040	37509
243	12089	37457
244	12138	37405
245	12186	37351
246	12238	37311
247	12284	37248
248	12349	37246
249	12408	37226
250	12456	37170
251	12504	37116
252	12555	37070
253	12602	37013
254	12644	36942
255	12694	36894
256	12735	36819
257	12784	36768
258	12833	36715
259	12885	36673
260	12934	36623
261	12983	36571
262	13045	36556
263	13098	36515
264	13144	36456
265	13208	36448
266	13253	36384
267	13294	36310
268	13339	36249
269	13379	36174
270	13431	36130
271	13481	36081
272	13537	36051
273	13585	35996
274	13633	35941
275	13676	35876
276	13717	35803
277	13763	35745
278	13811	35691
279	13868	35660
280	13924	35630
281	13970	35571
282	14033	35553
283	14081	35501
284	14127	35442
285	14185	35414
286	14237	35370
287	14292	35333
288	14339	35277
289	14383	35214
290	14433	35166
291	14472	35090
292	14512	35017
293	14557	34958
294	14600	34893
295	14645	34832
296	14695	34785
297	14736	34714
298	14782	34656
299	14837	34620
300	14889	34577
301	14948	34550
302	15003	34512
303	15055	34469
304	15104	34418
305	15154	34370
306	15203	34318
307	15261	34289
308	15312	34241
309	15365	34200
310	15427	34179
311	15483	34142
312	15530	34088
313	15575	34027
314	15635	34001
315	15697	33977
316	15741	33915
317	15787	33859
318	15844	33823
319	15908	33806
320	15956	33752
321	16005	33701
322	16064	33670
323	16126	33646
324	16171	33586
325	16227	33550
326	16291	33528
327	16350	33499
328	16396	33441
329	16453	33406
330	16508	33365
331	16559	33318
332	16611	33272
333	16662	33224
334	16704	33159
335	16752	33105
336	16798	33048
337	16850	33003
338	16890	32934
339	16937	32878
340	16986	32826
341	17032	32769
342	17082	32720
343	17125	32658
344	17170	32598
345	17216	32542
346	17262	32486
347	17311	32434
348	17354	32372
349	17400	32315
350	17447	32260
351	17505	32226
352	17561	32188
353	17604	32126
354	17643	32056
355	17681	31986
356	17722	31920
357	17770	31867
358	17822	31822
359	17873	31775
360	17931	31739
361	17990	31707
362	18036	31650
363	18083	31596
364	18135	31551
365	18179	31491
366	18234	31450
367	18286	31404
368	18328	31342
369	18376	31290
370	18420	31230
371	18482	31201
372	18531	31151
373	18598	31129
374	18645	31075
375	18697	31029
376	18749	30983
377	18800	30935
378	18858	30900
379	18907	30849
380	18956	30797
381	19008	30751
382	19061	30706
383	19100	30640
384	19145	30583
385	19198	30538
386	19246	30485
387	19305	30451
388	19351	30395
389	19402	30347
390	19451	30296
391	19504	30251
392	19550	30195
393	19601	30148
394	19644	30089
395	19706	30058
396	19760	30014
397	19811	29965
398	19859	29913
399	19909	29864
400	19955	29808
401	19999	29750
402	20052	29705
403	20097	29649
404	20154	29610
405	20205	29561
406	20248	29502
407	20295	29447
408	20358	29417
