iter	MultiClass
0	1.009555392
1	0.9397737668
2	0.8819173159
3	0.8336947028
4	0.7921075492
5	0.7580556026
6	0.7274722321
7	0.7002975519
8	0.6765501986
9	0.6554600624
10	0.635908399
11	0.6191995191
12	0.6046592877
13	0.5912991542
14	0.5792224146
15	0.5687732778
16	0.5593307972
17	0.5508447089
18	0.5435803907
19	0.5364213573
20	0.5297353473
21	0.5241070295
22	0.5190041797
23	0.5137992221
24	0.509198136
25	0.5050585657
26	0.5013417492
27	0.4972204948
28	0.4935822572
29	0.4909258679
30	0.4881900833
31	0.4851509284
32	0.4824651813
33	0.4799819328
34	0.4779175446
35	0.4753880004
36	0.4728902881
37	0.4707986217
38	0.4687132088
39	0.4667355932
40	0.4651593251
41	0.4638848232
42	0.4621104771
43	0.4608703246
44	0.4587070965
45	0.4572518944
46	0.4560036778
47	0.4548276555
48	0.4535261684
49	0.4522179328
50	0.4510777681
51	0.4494362787
52	0.4484147792
53	0.4477742842
54	0.4466574996
55	0.4456707627
56	0.4447193111
57	0.4433127646
58	0.4421706094
59	0.4412487303
60	0.4404621544
61	0.4396617294
62	0.4389664796
63	0.4383251212
64	0.4373233127
65	0.4364071629
66	0.4357460718
67	0.4348795321
68	0.433990617
69	0.4332160867
70	0.4322903055
71	0.4313067614
72	0.4303935703
73	0.429434527
74	0.4290462612
75	0.4278865768
76	0.4271371341
77	0.4264231329
78	0.4253744571
79	0.4246065119
80	0.4235153038
81	0.4229370224
82	0.4224511003
83	0.4214968145
84	0.4207232926
85	0.4195799983
86	0.4189256357
87	0.4183595901
88	0.4178837974
89	0.4169430053
90	0.4159241936
91	0.4152670182
92	0.4147428931
93	0.4141373356
94	0.4132558312
95	0.4126114554
96	0.4120386102
97	0.4112669545
98	0.4107330396
99	0.4102150197
100	0.4095065994
101	0.4089009921
102	0.4083365412
103	0.4078832864
104	0.407158243
105	0.4063781886
106	0.4058664446
107	0.4052213466
108	0.4048748836
109	0.4042737707
110	0.4031315181
111	0.4025656184
112	0.4022043364
113	0.4014291818
114	0.4008243449
115	0.4001266183
116	0.3994988947
117	0.3987644679
118	0.398278573
119	0.3973944612
120	0.3968419383
121	0.3963102036
122	0.3957965439
123	0.3952026814
124	0.3948317315
125	0.3945277245
126	0.3941047554
127	0.3937165252
128	0.3933232049
129	0.3928356816
130	0.3923734248
131	0.3915519754
132	0.3908988543
133	0.3904755893
134	0.3897765016
135	0.3890234475
136	0.3884177386
137	0.3875611196
138	0.3869399816
139	0.3865536493
140	0.3859899525
141	0.3857217988
142	0.3852526861
143	0.3848047061
144	0.3844436418
145	0.3837527635
146	0.3831994709
147	0.3827669488
148	0.3822360752
149	0.3818418415
150	0.3811786406
151	0.3804058742
152	0.3799263499
153	0.3794427327
154	0.3787712312
155	0.3783557745
156	0.3779475886
157	0.3775658051
158	0.3773208662
159	0.3765866509
160	0.3760163556
161	0.3755302057
162	0.3749908992
163	0.3747087068
164	0.3737313556
165	0.3731438405
166	0.372729438
167	0.372275121
168	0.3717123589
169	0.3711680737
170	0.3708485801
171	0.3704213041
172	0.3699352897
173	0.3695458616
174	0.369060496
175	0.3688199557
176	0.3681318144
177	0.3672768204
178	0.3667662205
179	0.3661031542
180	0.3657014927
181	0.3651687181
182	0.3644368043
183	0.3640551252
184	0.363310567
185	0.362569822
186	0.3621241787
187	0.361864105
188	0.3613991742
189	0.3611001065
190	0.360783412
191	0.3604921798
192	0.359954969
193	0.359605289
194	0.3593670699
195	0.3590426652
196	0.3585490557
197	0.3579827581
198	0.3573867634
199	0.3567404791
200	0.3559444724
201	0.3556606903
202	0.3553861107
203	0.3550742985
204	0.3547811767
205	0.3546702554
206	0.3541547407
207	0.3535841898
208	0.3532253498
209	0.3525495027
210	0.352075396
211	0.3516408847
212	0.3510860723
213	0.3505881559
214	0.3501635277
215	0.3495872057
216	0.3491786498
217	0.3487604987
218	0.34815376
219	0.3477538941
220	0.3473150721
221	0.3467584861
222	0.3461791581
223	0.3455454461
224	0.3449581241
225	0.3442522645
226	0.3439982617
227	0.3436132134
228	0.3433487117
229	0.3430510203
230	0.342776879
231	0.3424057386
232	0.3419474741
233	0.341550558
234	0.3412367901
235	0.3409187614
236	0.3406111902
237	0.3401606898
238	0.3398832563
239	0.3392549324
240	0.3389496245
241	0.338513438
242	0.3378603841
243	0.3376287728
244	0.3373904808
245	0.337177194
246	0.3369118277
247	0.3362208343
248	0.3359605464
249	0.3356645204
250	0.3352710304
251	0.3349927628
252	0.3345040092
253	0.3341011715
254	0.3338696536
255	0.3334617119
256	0.3330529674
257	0.3327753141
258	0.3324621654
259	0.3319830735
260	0.3318848378
261	0.3315299279
262	0.3311082831
263	0.3306526401
264	0.3302808632
265	0.3300458968
266	0.3297168779
267	0.3294589482
268	0.3289911979
269	0.3285729939
270	0.3281944538
271	0.3277537883
272	0.3272987361
273	0.3270927421
274	0.3268354492
275	0.3265446825
276	0.325980993
277	0.3256679308
278	0.3255090822
279	0.3252489678
280	0.3248934931
281	0.3246861901
282	0.3243383947
283	0.323980008
284	0.3237655414
285	0.3234871197
286	0.3232908813
287	0.3230660624
288	0.3226557051
289	0.3220285581
290	0.3217297109
291	0.3209362044
292	0.3206418402
293	0.3203994992
294	0.3201068204
