iter	Passed	Remaining
0	8	8508
1	17	8755
2	25	8394
3	31	7726
4	37	7424
5	43	7249
6	50	7173
7	56	7016
8	62	6879
9	67	6725
10	73	6592
11	78	6499
12	85	6464
13	91	6424
14	97	6401
15	103	6342
16	109	6323
17	114	6252
18	120	6197
19	125	6144
20	130	6088
21	135	6042
22	141	5990
23	146	5955
24	151	5923
25	157	5889
26	162	5852
27	167	5809
28	172	5781
29	177	5747
30	183	5724
31	188	5693
32	193	5664
33	198	5638
34	203	5616
35	208	5589
36	213	5564
37	219	5550
38	224	5534
39	230	5534
40	235	5516
41	241	5512
42	246	5494
43	251	5473
44	257	5463
45	263	5463
46	268	5450
47	273	5432
48	279	5417
49	284	5401
50	289	5394
51	295	5379
52	300	5361
53	304	5342
54	309	5322
55	314	5304
56	319	5287
57	324	5274
58	329	5259
59	335	5251
60	340	5238
61	345	5223
62	350	5213
63	355	5198
64	360	5186
65	366	5179
66	371	5176
67	377	5171
68	382	5162
69	388	5155
70	393	5151
71	398	5141
72	404	5134
73	410	5132
74	415	5124
75	420	5116
76	425	5105
77	431	5097
78	436	5091
79	441	5082
80	447	5075
81	453	5073
82	459	5074
83	464	5064
84	469	5057
85	474	5047
86	480	5038
87	485	5030
88	490	5021
89	495	5014
90	501	5008
91	506	4999
92	511	4989
93	517	4984
94	522	4978
95	527	4970
96	533	4963
97	538	4954
98	544	4952
99	549	4946
100	554	4936
101	559	4929
102	565	4921
103	570	4912
104	575	4905
105	580	4897
106	586	4892
107	591	4887
108	596	4879
109	602	4874
110	608	4869
111	613	4864
112	618	4855
113	624	4852
114	630	4849
115	635	4844
116	641	4839
117	646	4831
118	651	4823
119	657	4820
120	663	4816
121	668	4810
122	674	4806
123	680	4804
124	685	4801
125	691	4795
126	696	4789
127	701	4781
128	707	4773
129	712	4768
130	717	4761
131	722	4752
132	727	4744
133	738	4773
134	746	4784
135	754	4792
136	762	4801
137	768	4798
138	774	4800
139	781	4797
140	786	4792
141	792	4786
142	797	4779
143	803	4774
144	808	4765
145	814	4764
146	820	4758
147	825	4753
148	830	4744
149	836	4737
150	841	4730
151	847	4725
152	852	4718
153	858	4713
154	863	4708
155	868	4700
156	873	4692
157	879	4688
158	884	4679
159	890	4673
160	895	4665
161	900	4657
162	905	4649
163	911	4644
164	916	4640
165	922	4635
166	928	4630
167	933	4624
168	939	4620
169	945	4615
170	950	4607
171	955	4599
172	960	4592
173	965	4585
174	971	4577
175	976	4569
176	981	4561
177	986	4557
178	992	4550
179	997	4544
180	1002	4537
181	1007	4529
182	1014	4527
183	1019	4520
184	1024	4513
185	1030	4509
186	1035	4502
187	1041	4496
188	1046	4490
189	1052	4487
190	1057	4480
191	1063	4474
192	1068	4467
193	1073	4460
194	1079	4456
195	1085	4452
196	1091	4447
197	1096	4442
198	1102	4436
199	1107	4430
200	1112	4423
201	1118	4418
202	1124	4414
203	1131	4415
204	1138	4413
205	1143	4407
206	1149	4402
207	1154	4396
208	1160	4391
209	1165	4385
210	1171	4379
211	1176	4374
212	1182	4367
213	1187	4361
214	1193	4356
215	1198	4349
216	1203	4343
217	1209	4337
218	1214	4332
219	1220	4325
220	1225	4318
221	1230	4312
222	1235	4306
223	1241	4300
224	1246	4294
225	1252	4289
226	1257	4283
227	1263	4276
228	1268	4271
229	1274	4267
230	1280	4263
231	1285	4256
232	1291	4250
233	1296	4243
234	1301	4236
235	1306	4229
236	1311	4223
237	1317	4217
238	1322	4210
239	1328	4205
240	1333	4198
241	1338	4191
242	1343	4186
243	1348	4179
244	1354	4174
245	1360	4170
246	1366	4165
247	1371	4159
248	1377	4155
249	1383	4149
250	1388	4143
251	1393	4136
252	1399	4132
253	1405	4128
254	1411	4124
255	1417	4118
256	1423	4113
257	1428	4107
258	1434	4102
259	1439	4096
260	1444	4089
261	1450	4084
262	1455	4078
263	1460	4071
264	1465	4065
265	1470	4058
266	1476	4052
267	1481	4046
268	1486	4039
269	1492	4035
270	1498	4030
271	1503	4024
272	1509	4020
273	1514	4014
274	1520	4008
275	1525	4002
276	1531	3997
277	1536	3990
278	1541	3984
279	1547	3979
280	1552	3973
281	1558	3966
282	1563	3960
283	1568	3954
284	1573	3947
285	1579	3942
286	1585	3938
287	1590	3931
288	1596	3927
289	1601	3922
290	1607	3915
291	1612	3910
292	1618	3905
293	1623	3898
294	1628	3892
295	1634	3886
296	1639	3880
297	1645	3875
298	1650	3868
299	1655	3862
300	1660	3856
301	1665	3850
302	1670	3843
303	1676	3837
304	1681	3832
305	1687	3827
306	1693	3821
307	1698	3816
308	1704	3811
309	1709	3806
310	1715	3800
311	1721	3795
312	1727	3790
313	1732	3784
314	1737	3779
315	1743	3773
316	1748	3766
317	1753	3760
318	1758	3755
319	1764	3748
320	1769	3742
321	1775	3737
322	1780	3731
323	1786	3727
324	1791	3721
325	1797	3715
326	1802	3710
327	1808	3704
328	1813	3699
329	1819	3695
330	1826	3691
331	1831	3685
332	1837	3679
333	1842	3674
334	1847	3668
335	1853	3663
336	1859	3657
337	1864	3651
338	1869	3645
339	1874	3639
340	1880	3633
341	1885	3627
342	1890	3621
343	1896	3615
344	1901	3610
345	1906	3604
346	1911	3597
347	1917	3591
348	1922	3585
349	1927	3579
350	1932	3573
351	1937	3567
352	1942	3561
353	1947	3554
354	1953	3548
355	1959	3544
356	1964	3538
357	1969	3531
358	1974	3525
359	1979	3519
360	1985	3513
361	1990	3508
362	1996	3503
363	2001	3497
364	2007	3491
365	2012	3486
366	2018	3481
367	2023	3475
368	2029	3470
369	2035	3465
370	2040	3459
371	2045	3453
372	2051	3447
373	2056	3442
374	2062	3436
375	2067	3431
376	2072	3425
377	2078	3419
378	2083	3413
379	2088	3407
380	2093	3401
381	2099	3395
382	2104	3390
383	2110	3384
384	2115	3378
385	2120	3373
386	2125	3367
387	2131	3361
388	2136	3355
389	2141	3350
390	2147	3344
391	2152	3338
392	2157	3332
393	2168	3334
394	2176	3333
395	2183	3331
396	2191	3328
397	2197	3324
398	2203	3318
399	2208	3312
400	2213	3306
401	2219	3300
402	2224	3294
403	2229	3288
404	2234	3282
405	2239	3276
406	2244	3270
407	2250	3264
408	2255	3259
409	2260	3253
410	2265	3247
411	2271	3242
412	2277	3236
413	2282	3230
414	2287	3224
415	2292	3218
416	2298	3213
417	2303	3207
418	2309	3202
419	2315	3196
420	2320	3190
421	2325	3184
422	2330	3178
423	2335	3172
424	2340	3167
425	2346	3161
426	2351	3155
427	2356	3149
428	2362	3144
429	2367	3138
430	2373	3133
431	2378	3127
432	2383	3121
433	2389	3115
434	2394	3109
435	2399	3103
436	2405	3098
437	2410	3092
438	2415	3087
439	2421	3081
440	2426	3075
441	2431	3070
