iter	Logloss
0	0.5884312157
1	0.5062929799
2	0.4396962411
3	0.3836988361
4	0.3408645915
5	0.3074008379
6	0.2786888855
7	0.2550239288
8	0.2363469847
9	0.2218953932
10	0.2086842437
11	0.1983508762
12	0.1898059607
13	0.1829427316
14	0.1773073778
15	0.172301452
16	0.1681167053
17	0.1645283126
18	0.1615643372
19	0.1590464924
20	0.1568174142
21	0.1549397433
22	0.1533659291
23	0.1520583163
24	0.1507549732
25	0.149719822
26	0.1488011016
27	0.1479604262
28	0.1471626127
29	0.1466352126
30	0.1461012931
31	0.1456934936
32	0.1451882707
33	0.1447204461
34	0.1442880423
35	0.1439395735
36	0.1436170105
37	0.1432835331
38	0.1431173781
39	0.1429065539
40	0.1427017898
41	0.1425104885
42	0.142319331
43	0.1420898646
44	0.1419506985
45	0.1418591787
46	0.1417346733
47	0.1416545247
48	0.1415675869
49	0.1414329948
50	0.1413392109
51	0.1412439336
52	0.1411556084
53	0.141091715
54	0.1410145475
55	0.140915129
56	0.1408254437
57	0.140759751
58	0.1406765451
59	0.1406110314
60	0.1405376102
61	0.1404488138
62	0.1404012229
63	0.1403704074
64	0.1403140643
65	0.1402540328
66	0.1401741732
67	0.1401304892
68	0.1400502587
69	0.1399525832
70	0.1398824706
71	0.1398303619
72	0.1397403491
73	0.1396751743
74	0.1396438418
75	0.1396100934
76	0.1395718039
77	0.1395133765
78	0.1394727764
79	0.1394308779
80	0.1393854404
81	0.1393506675
82	0.1393168846
83	0.1392841639
84	0.1392373896
85	0.1391923093
86	0.1391759538
87	0.1391449826
88	0.1391043334
89	0.1390579565
90	0.1390212623
91	0.1389669248
92	0.138922857
93	0.1388993349
94	0.1388617536
95	0.1388164317
96	0.1387834661
97	0.1387511798
98	0.1387272081
99	0.1387099509
100	0.1386757738
101	0.1386381082
102	0.1386167467
103	0.1385727101
104	0.1385462359
105	0.1385261221
106	0.1385032913
107	0.1384697492
108	0.1384049863
109	0.1383813864
110	0.1383639678
111	0.1383317762
112	0.1382986051
113	0.138282354
114	0.1382486072
115	0.1382163449
116	0.1381736428
117	0.1381403433
118	0.1381101621
119	0.1380832013
120	0.1380316385
121	0.1380036532
122	0.1379822115
123	0.1379491054
124	0.1379182972
125	0.1378724726
126	0.1378549802
127	0.137812763
128	0.1377968692
129	0.1377636089
130	0.1377503019
131	0.1377225511
132	0.1376968348
133	0.1376732244
134	0.1376379835
135	0.1375947932
136	0.1375720868
137	0.1375532825
138	0.1375437523
139	0.1375262936
140	0.1374980337
141	0.1374559474
142	0.1374252548
143	0.13741099
144	0.1373857642
145	0.137368332
146	0.1373629158
147	0.1373351328
148	0.1373188785
149	0.137309964
150	0.1372793846
151	0.137250301
152	0.1372197136
153	0.1371756112
154	0.1371272721
155	0.1370995172
156	0.1370755825
157	0.1370626488
158	0.1370180447
159	0.1370031375
160	0.1369780466
161	0.1369430217
162	0.1369307962
163	0.1369027981
164	0.1368881374
165	0.1368722973
166	0.1368436625
167	0.1368170277
168	0.136787435
169	0.1367677242
170	0.1367418594
171	0.136698584
172	0.1366744533
173	0.1366612443
174	0.136649845
175	0.1366191114
176	0.1366024789
177	0.1365813438
178	0.1365582882
179	0.1365400909
180	0.1365234439
181	0.1364815953
182	0.1364602297
183	0.1364341184
184	0.1363931296
185	0.136360307
186	0.1363341113
187	0.1363152323
188	0.1362928937
189	0.1362649453
190	0.1362452041
191	0.1362249016
192	0.1362046665
193	0.1361846771
194	0.1361746274
195	0.1361562912
196	0.1361349763
197	0.1361069404
198	0.1361001103
199	0.136084772
200	0.1360655502
201	0.1360328857
202	0.1360005215
203	0.135986227
204	0.1359636748
205	0.1359507267
206	0.1359401062
207	0.1359185303
208	0.1358983691
209	0.1358704609
210	0.135845423
211	0.135825041
212	0.1357937952
213	0.1357639207
214	0.1357489381
215	0.1357315694
216	0.1356998129
217	0.1356765478
218	0.1356551951
219	0.1356248068
220	0.1355953025
221	0.1355760461
222	0.1355465033
223	0.1355290261
224	0.1355132768
225	0.1355028176
226	0.1354723578
227	0.1354504969
228	0.1354394974
229	0.1354191749
230	0.135400564
231	0.1353776329
232	0.1353541165
233	0.135334535
234	0.1353206796
235	0.1352830124
236	0.1352581503
237	0.1352362926
238	0.1352165577
239	0.1352002881
240	0.1351705044
241	0.1351614647
242	0.1351379924
243	0.1351214563
244	0.135099666
245	0.1350820444
246	0.1350590104
247	0.1350299629
248	0.1350125348
249	0.1349807181
250	0.1349638022
251	0.1349290044
252	0.1349107493
253	0.1349016269
254	0.1348829406
255	0.1348575045
256	0.1348481798
257	0.1348397977
258	0.1348225213
259	0.1347956336
260	0.1347702649
261	0.134747756
262	0.134728462
263	0.1347173966
264	0.1347060647
265	0.1346944342
266	0.1346727828
267	0.1346521206
268	0.1346297724
269	0.1346121523
270	0.1345949971
271	0.1345816227
272	0.1345742378
273	0.1345560581
274	0.1345259211
275	0.1345103034
276	0.1344876934
277	0.1344726868
278	0.1344459732
279	0.1344306566
280	0.1344117969
281	0.1343890007
282	0.1343753452
283	0.1343584526
284	0.1343439381
285	0.1343222096
286	0.1342950553
287	0.1342842895
288	0.1342771551
289	0.1342587554
290	0.1342454958
291	0.1342161167
292	0.1342030233
293	0.1341765779
294	0.1341535215
295	0.1341432703
296	0.1341308321
297	0.1341024919
298	0.1340753513
299	0.134051162
300	0.1340278471
301	0.1340147609
302	0.1340024262
303	0.1339788873
304	0.1339635097
305	0.133941766
306	0.1339148092
307	0.133886559
308	0.1338714664
309	0.1338469046
310	0.133834105
311	0.1338054582
312	0.1337761168
313	0.1337669254
314	0.133741645
315	0.1337294878
316	0.1337219559
317	0.1336908812
318	0.1336720471
319	0.1336467547
320	0.1336320154
321	0.1336094536
322	0.133586964
323	0.1335760537
324	0.1335648462
325	0.1335235917
326	0.1335028139
327	0.1334970701
328	0.1334673144
329	0.1334540821
330	0.1334431958
331	0.1334292417
332	0.1334060312
333	0.1333920128
334	0.1333800892
335	0.1333682748
336	0.1333509028
337	0.1333309512
338	0.1332901527
339	0.1332733724
340	0.1332643593
341	0.1332503722
342	0.1332379645
343	0.1332201397
344	0.1331939625
345	0.1331728138
346	0.1331604622
347	0.1331480456
348	0.1331322144
349	0.1331170415
350	0.1331035747
351	0.1330862413
352	0.1330552027
353	0.1330405003
354	0.1330263663
355	0.1330083657
356	0.1329848083
357	0.1329714612
358	0.1329428753
359	0.1329316711
360	0.1329131494
361	0.1328943146
362	0.1328842593
363	0.1328717463
364	0.132865361
365	0.1328546947
366	0.1328205176
367	0.1327903613
368	0.1327728753
369	0.1327611749
370	0.1327488812
371	0.1327282752
372	0.1327177566
373	0.1326965396
374	0.1326848488
375	0.132665562
376	0.1326467055
377	0.1326360777
378	0.1326248044
379	0.1325976172
380	0.1325582599
381	0.1325399445
382	0.1325331088
383	0.1325109541
384	0.1324935933
385	0.1324675703
386	0.132453332
387	0.132439593
388	0.1324061305
389	0.1323835092
390	0.1323750244
391	0.1323556211
392	0.1323400203
393	0.1323285375
394	0.1323166395
395	0.1323001965
396	0.1322803019
397	0.1322644096
398	0.1322430497
399	0.1322280695
400	0.1322062223
401	0.1321903838
402	0.1321768584
403	0.132164144
404	0.1321412128
405	0.1321242463
406	0.1321157663
407	0.132099304
408	0.1320902426
409	0.1320721826
410	0.1320639145
411	0.132048862
412	0.1320415799
413	0.1320241903
414	0.1320130053
415	0.1319992431
416	0.1319887823
417	0.1319656191
418	0.1319505852
419	0.1319310181
420	0.1319046209
421	0.1318924307
422	0.1318600649
423	0.131839931
424	0.1318240717
425	0.1318178534
426	0.1317958431
427	0.1317851038
428	0.1317699172
429	0.1317597263
430	0.1317457208
431	0.1317283279
432	0.1317188234
433	0.1317023659
434	0.1316895125
435	0.1316762232
436	0.1316665975
437	0.1316463961
438	0.1316372192
439	0.1316281675
440	0.1316017028
441	0.1315821936
442	0.1315754132
443	0.1315669605
444	0.1315450442
445	0.1315301636
446	0.1315038916
447	0.1314923052
448	0.1314787092
449	0.1314640068
450	0.1314505995
451	0.1314330838
452	0.1314239799
453	0.1313993539
454	0.1313902387
455	0.1313708419
456	0.1313501018
457	0.131329206
458	0.1313147108
459	0.1312988924
460	0.1312781162
461	0.1312645988
462	0.1312484304
463	0.1312291331
464	0.1312193186
465	0.1312019908
466	0.1311780842
467	0.131161817
468	0.1311448641
469	0.131129847
470	0.1311157861
471	0.1311054955
472	0.1310941363
473	0.1310765564
474	0.1310556429
475	0.1310475306
476	0.1310283634
477	0.1310106919
478	0.1309844248
479	0.1309714205
480	0.1309599578
481	0.1309409704
482	0.130923498
483	0.1309186133
484	0.1308996869
485	0.1308877866
486	0.1308730569
487	0.1308572666
488	0.130837763
489	0.1308159968
490	0.1307927783
491	0.1307840124
492	0.1307718383
493	0.1307640399
494	0.1307477695
495	0.1307384231
496	0.1307193562
497	0.130702258
498	0.130666647
499	0.1306507354
500	0.1306388656
501	0.1306134592
502	0.1305882431
503	0.1305701389
504	0.1305585733
505	0.1305379537
506	0.1305117243
507	0.1304930621
508	0.1304805058
509	0.1304700298
510	0.1304538188
511	0.1304313758
512	0.1304144085
513	0.1304098834
514	0.1303993327
515	0.1303706265
516	0.1303543938
517	0.1303432706
518	0.1303364863
519	0.130328166
520	0.1303124359
521	0.1302879833
522	0.1302702806
523	0.1302656776
524	0.1302575356
525	0.1302381492
526	0.130219707
527	0.1302107444
528	0.1301806379
529	0.1301741289
530	0.1301508469
531	0.1301192639
532	0.1301076743
533	0.1300929366
534	0.1300736618
535	0.1300543147
536	0.1300402546
537	0.130007452
538	0.129992467
539	0.129966448
540	0.1299398694
541	0.129931957
542	0.1299136199
543	0.1298962728
544	0.1298841886
545	0.1298686352
546	0.1298499939
547	0.1298267038
548	0.1298196626
549	0.1298139348
550	0.1297898555
551	0.1297798468
552	0.1297548233
553	0.1297390908
554	0.1297252259
555	0.1296974766
556	0.1296803287
557	0.1296648804
558	0.1296513671
559	0.1296373383
560	0.1296318474
561	0.1296149764
562	0.1295976638
563	0.1295905471
564	0.1295810249
565	0.129551661
566	0.1295190592
567	0.1294964476
568	0.1294799532
569	0.1294499671
570	0.1294331379
571	0.1294158847
572	0.129389999
573	0.1293843547
574	0.1293702312
575	0.1293510873
576	0.1293352624
577	0.1293291075
578	0.1293116464
579	0.1292911368
580	0.1292626409
581	0.1292464909
582	0.1292352971
583	0.1292268162
584	0.1292103644
585	0.1291922272
586	0.1291840852
587	0.1291603825
588	0.1291457893
589	0.1291431775
590	0.1291273077
591	0.1291199871
592	0.12910321
593	0.129082869
594	0.1290692408
595	0.1290482599
596	0.1290409159
597	0.1290221349
598	0.1290081535
599	0.1289893267
600	0.1289786363
601	0.1289564061
602	0.1289390831
603	0.1289254333
604	0.1289111452
605	0.128894063
606	0.1288831631
607	0.1288695703
608	0.1288535785
609	0.1288388367
610	0.1288260565
611	0.1288206466
612	0.1288048884
613	0.1287878754
614	0.1287812179
615	0.1287541005
616	0.128750449
617	0.1287372809
618	0.1287242573
619	0.1287146613
620	0.128707962
621	0.1287016417
622	0.1286870228
623	0.1286647099
624	0.1286475298
625	0.1286411911
626	0.1286325569
627	0.1286218111
628	0.1286125458
629	0.1285975142
630	0.1285856099
631	0.1285566828
632	0.1285485729
633	0.1285395573
634	0.1285219509
635	0.1285138466
636	0.1285065147
637	0.1284945911
638	0.1284742235
639	0.1284599105
640	0.1284457565
641	0.1284410749
642	0.1284272164
643	0.1284143943
644	0.128399887
645	0.1283916157
646	0.1283823641
647	0.1283752257
648	0.1283721145
649	0.1283587152
650	0.1283330061
651	0.1283184659
652	0.1283027992
653	0.128290328
654	0.1282876601
655	0.1282744149
656	0.1282593215
657	0.1282222709
658	0.1282115749
659	0.1282018222
660	0.128194512
661	0.1281729851
662	0.1281529492
663	0.1281478404
664	0.1281359875
665	0.1281316832
666	0.1281289887
667	0.1281244918
668	0.1281011937
669	0.1280872637
670	0.1280755119
671	0.1280699246
672	0.1280534864
673	0.1280330522
674	0.1280159709
675	0.1280111319
676	0.1279961461
677	0.1279914998
678	0.1279687959
679	0.1279537346
680	0.127929115
681	0.1279254619
682	0.1279041141
683	0.1278910801
