iter	Passed	Remaining
0	16	16967
1	32	16279
2	48	16036
3	64	15961
4	79	15748
5	93	15547
6	108	15439
7	124	15398
8	139	15353
9	154	15310
10	170	15342
11	186	15322
12	201	15300
13	217	15299
14	232	15284
15	248	15262
16	262	15205
17	278	15179
18	293	15138
19	308	15118
20	324	15114
21	339	15086
22	354	15056
23	370	15054
24	385	15040
25	401	15031
26	416	15010
27	432	15004
28	447	14996
29	463	14983
30	478	14961
31	493	14924
32	508	14912
33	524	14897
34	539	14884
35	555	14869
36	570	14858
37	586	14836
38	601	14820
39	617	14817
40	633	14808
41	648	14787
42	663	14768
43	679	14755
44	694	14736
45	709	14716
46	725	14703
47	740	14678
48	755	14659
49	771	14653
50	787	14644
51	802	14631
52	817	14606
53	834	14612
54	849	14596
55	865	14593
56	881	14578
57	896	14558
58	911	14542
59	927	14529
60	942	14513
61	958	14501
62	973	14483
63	989	14472
64	1004	14455
65	1020	14442
66	1035	14421
67	1053	14441
68	1069	14432
69	1085	14422
70	1101	14407
71	1115	14381
72	1131	14368
73	1147	14354
74	1162	14340
75	1178	14325
76	1193	14307
77	1209	14296
78	1224	14277
79	1239	14258
80	1255	14241
81	1270	14221
82	1285	14203
83	1300	14186
84	1316	14167
85	1331	14152
86	1346	14134
87	1362	14118
88	1377	14097
89	1392	14084
90	1408	14066
91	1423	14052
92	1439	14037
93	1454	14015
94	1469	13995
95	1484	13981
96	1500	13964
97	1515	13945
98	1530	13925
99	1545	13909
100	1560	13893
101	1576	13881
102	1592	13871
103	1608	13854
104	1623	13837
105	1638	13820
106	1653	13798
107	1668	13777
108	1683	13762
109	1698	13744
110	1714	13727
111	1729	13710
112	1744	13694
113	1759	13674
114	1774	13656
115	1790	13647
116	1806	13630
117	1820	13607
118	1835	13592
119	1851	13580
120	1867	13563
121	1882	13547
122	1897	13532
123	1913	13516
124	1928	13498
125	1943	13480
126	1958	13462
127	1973	13442
128	1988	13428
129	2004	13412
130	2019	13393
131	2034	13375
132	2048	13356
133	2064	13340
134	2079	13323
135	2094	13305
136	2108	13283
137	2123	13264
138	2138	13248
139	2153	13229
140	2168	13210
141	2183	13192
142	2200	13185
143	2214	13166
144	2229	13148
145	2244	13129
146	2259	13110
147	2274	13094
148	2289	13077
149	2303	13055
150	2319	13040
151	2334	13026
152	2350	13011
153	2365	12994
154	2380	12980
155	2396	12967
156	2413	12956
157	2428	12940
158	2443	12925
159	2458	12905
160	2473	12888
161	2488	12870
162	2502	12849
163	2517	12832
164	2532	12814
165	2547	12797
166	2562	12783
167	2577	12764
168	2592	12748
169	2608	12733
170	2622	12713
171	2637	12697
172	2652	12679
173	2666	12660
174	2681	12643
175	2696	12625
176	2711	12609
177	2726	12590
178	2741	12572
179	2755	12554
180	2770	12535
181	2786	12523
182	2801	12506
183	2816	12489
184	2830	12469
185	2845	12451
186	2860	12434
187	2874	12417
188	2889	12399
189	2904	12382
190	2918	12363
191	2933	12344
192	2947	12326
193	2962	12310
194	2976	12289
195	2992	12273
196	3007	12257
197	3023	12246
198	3039	12233
199	3055	12221
200	3071	12210
201	3089	12204
202	3106	12196
203	3122	12183
204	3137	12166
205	3151	12147
206	3165	12127
207	3180	12109
208	3195	12095
209	3211	12079
210	3225	12062
211	3240	12045
212	3256	12031
213	3270	12012
214	3285	11994
215	3299	11977
216	3314	11960
217	3329	11943
218	3343	11924
219	3358	11907
220	3373	11890
221	3387	11872
222	3404	11862
223	3419	11846
224	3434	11830
225	3449	11814
226	3466	11803
227	3482	11790
228	3496	11772
229	3511	11754
230	3527	11741
231	3541	11724
232	3556	11706
233	3571	11690
234	3586	11673
235	3601	11659
236	3616	11643
237	3633	11631
238	3648	11616
239	3662	11598
240	3677	11582
241	3692	11565
242	3707	11548
243	3721	11531
244	3736	11515
245	3751	11499
246	3766	11482
247	3781	11466
248	3796	11450
249	3810	11432
250	3825	11416
251	3841	11401
252	3856	11386
253	3871	11370
254	3886	11355
255	3901	11340
256	3916	11323
257	3930	11305
258	3945	11288
259	3961	11273
260	3977	11261
261	3992	11246
262	4007	11231
263	4022	11213
264	4037	11197
265	4051	11180
266	4067	11166
267	4081	11148
