iter	RMSE
0	0.4034408825
1	0.392115042
2	0.3838382329
3	0.3765966127
4	0.3698500498
5	0.3643659844
6	0.3591192094
7	0.3536846041
8	0.3501874667
9	0.345187151
10	0.3389924387
11	0.3366823201
12	0.3321795698
13	0.3301758679
14	0.3264137142
15	0.3243729096
16	0.3214748257
17	0.3196085891
18	0.3160658642
19	0.3147998315
20	0.3122181992
21	0.3111466009
22	0.3088091587
23	0.3071647626
24	0.3048483366
25	0.3039058572
26	0.3031623898
27	0.3022683409
28	0.3015962731
29	0.3000177692
30	0.2987597496
31	0.2978284062
32	0.2964393863
33	0.2952561951
34	0.2947555428
35	0.294320512
36	0.29369067
37	0.2922983447
38	0.2908589915
39	0.2905425624
40	0.2902011372
41	0.2895523675
42	0.2891656728
43	0.2887095597
44	0.2884564847
45	0.2873377214
46	0.286347092
47	0.2861234033
48	0.2854273232
49	0.2850751126
50	0.2847963194
51	0.2843998286
52	0.2841217911
53	0.2837831805
54	0.2836140719
55	0.283007696
56	0.2821985035
57	0.2818200192
58	0.28155675
59	0.2814075002
60	0.2811527075
61	0.280453764
62	0.2802693472
63	0.2797179674
64	0.2795613245
65	0.2793182301
66	0.279210609
67	0.2789127669
68	0.2786445022
69	0.2783781467
70	0.2781424623
71	0.2780045138
72	0.2778798084
73	0.2776571161
74	0.2775781433
75	0.2773620635
76	0.2772844916
77	0.2771729461
78	0.2766458891
79	0.2762912662
80	0.276116344
81	0.2759451186
82	0.2756335163
83	0.275520754
84	0.2751277324
85	0.2750395631
86	0.2742888136
87	0.2741871593
88	0.2739400756
89	0.2736875044
90	0.2735925399
91	0.2733743064
92	0.2732893656
93	0.2731353867
94	0.2728971865
95	0.2728498751
96	0.2726264141
97	0.2725340395
98	0.2724491261
99	0.2723933703
100	0.2721846195
101	0.2721198651
102	0.2719319368
103	0.2717129758
104	0.2716062382
105	0.271458798
106	0.271291535
107	0.2711230791
108	0.271044496
109	0.2709617817
110	0.270883058
111	0.2707962504
112	0.2707143443
113	0.2706205282
114	0.2705776409
115	0.2705107267
116	0.2704033717
117	0.2703397668
118	0.2702693675
119	0.2701926929
120	0.2700565713
121	0.2699965453
122	0.2699243064
123	0.269859196
124	0.2698052093
125	0.2696836232
126	0.2695508525
127	0.2694907164
128	0.2693857824
129	0.2693394032
130	0.2692500124
131	0.2691976456
132	0.2689056681
133	0.2688291889
134	0.2687895153
135	0.2687252781
136	0.2686869092
137	0.2685614877
138	0.2684688975
139	0.2683912084
140	0.2682116338
141	0.2680863534
142	0.2680057436
143	0.2679540329
144	0.26782649
145	0.2677569375
146	0.2677154569
147	0.26761437
148	0.267586246
149	0.267519997
150	0.2674396684
151	0.2673462978
152	0.2672226703
153	0.2671799915
154	0.2671207888
155	0.2670702124
156	0.2669868664
157	0.2669430175
158	0.2668221401
159	0.2667704824
160	0.2667417026
161	0.2666910648
162	0.2666338969
