iter	Passed	Remaining
0	204	203874
1	251	125339
2	295	98265
3	338	84410
4	386	76994
5	430	71342
6	478	67871
7	525	65109
8	568	62551
9	613	60712
10	660	59349
11	706	58191
12	753	57183
13	796	56119
14	842	55305
15	887	54563
16	931	53864
17	974	53176
18	1020	52688
19	1064	52172
20	1109	51729
21	1151	51189
22	1196	50838
23	1243	50564
24	1286	50185
25	1332	49904
26	1374	49525
27	1417	49224
28	1459	48883
29	1506	48702
30	1550	48461
31	1594	48248
32	1640	48071
33	1687	47947
34	1730	47721
35	1774	47509
36	1818	47326
37	1863	47183
38	1909	47044
39	1952	46867
40	1996	46708
41	2041	46554
42	2084	46400
43	2132	46332
44	2175	46179
45	2221	46067
46	2267	45981
47	2310	45815
48	2357	45753
49	2401	45630
50	2447	45550
51	2494	45469
52	2537	45332
53	2582	45236
54	2627	45138
55	2671	45036
56	2717	44965
57	2765	44917
58	2811	44844
59	2854	44725
60	2901	44671
61	2950	44635
62	2997	44586
63	3043	44513
64	3088	44420
65	3133	44338
66	3177	44248
67	3220	44142
68	3267	44089
69	3310	43985
70	3353	43881
71	3397	43795
72	3441	43702
73	3486	43625
74	3529	43534
75	3575	43476
76	3618	43379
77	3663	43308
78	3707	43223
79	3754	43172
80	3797	43087
81	3842	43015
82	3887	42945
83	3929	42846
84	3973	42777
85	4019	42722
86	4066	42673
87	4109	42586
88	4156	42542
89	4200	42469
90	4246	42421
91	4288	42324
92	4332	42250
93	4377	42194
94	4422	42128
95	4462	42017
96	4506	41956
97	4551	41891
98	4595	41823
99	4636	41726
100	4682	41676
101	4728	41630
102	4771	41558
103	4817	41504
104	4859	41417
105	4906	41378
106	4951	41328
107	4997	41278
108	5039	41196
109	5083	41131
110	5126	41059
111	5172	41006
112	5216	40945
113	5262	40903
114	5306	40837
115	5348	40760
116	5392	40697
117	5434	40623
118	5478	40557
119	5520	40485
120	5565	40432
121	5609	40373
122	5653	40308
123	5696	40242
124	5737	40165
125	5783	40114
126	5828	40064
127	5872	40005
128	5914	39933
129	5956	39865
130	6000	39805
131	6044	39748
132	6087	39684
133	6132	39629
134	6172	39550
135	6218	39504
136	6263	39456
137	6310	39418
138	6355	39365
139	6398	39306
140	6443	39256
141	6486	39191
142	6531	39143
143	6572	39072
144	6618	39028
145	6664	38983
146	6709	38932
147	6751	38868
148	6791	38787
149	6835	38732
150	6877	38668
151	6922	38619
152	6968	38577
153	7010	38512
154	7060	38491
155	7109	38464
156	7156	38424
157	7202	38381
158	7247	38335
159	7297	38312
160	7339	38249
161	7385	38202
162	7430	38154
163	7474	38103
164	7517	38045
165	7566	38014
166	7609	37955
167	7654	37909
168	7700	37866
169	7746	37822
170	7792	37776
171	7834	37716
172	7880	37673
173	7925	37624
174	7969	37570
175	8014	37522
176	8058	37467
177	8104	37424
178	8145	37360
179	8190	37313
180	8237	37273
181	8279	37210
182	8323	37160
183	8368	37111
184	8414	37070
185	8458	37016
186	8502	36966
187	8546	36915
188	8590	36861
189	8640	36834
190	8686	36794
191	8728	36733
192	8775	36695
193	8823	36656
194	8865	36597
195	8911	36553
196	8959	36520
197	9007	36486
198	9055	36450
199	9108	36435
200	9155	36396
201	9200	36347
202	9244	36294
203	9291	36255
204	9332	36193
205	9379	36150
206	9424	36103
207	9466	36045
208	9513	36004
209	9558	35957
210	9603	35911
211	9647	35860
212	9693	35815
213	9739	35773
214	9791	35751
215	9837	35707
216	9883	35661
217	9928	35613
218	9970	35557
219	10014	35505
220	10059	35458
221	10105	35415
222	10148	35360
223	10192	35308
224	10233	35250
225	10277	35199
226	10324	35156
227	10372	35121
228	10418	35077
229	10464	35033
230	10509	34986
231	10553	34934
232	10599	34891
233	10645	34846
234	10691	34804
235	10735	34753
236	10778	34701
237	10820	34643
238	10862	34587
239	10908	34542
240	10949	34483
241	10996	34442
242	11041	34397
243	11082	34337
244	11124	34282
245	11165	34224
246	11211	34177
247	11253	34122
248	11294	34065
249	11340	34022
250	11389	33985
251	11432	33935
252	11475	33883
253	11520	33835
254	11565	33790
255	11607	33734
256	11657	33701
257	11700	33650
258	11742	33594
259	11785	33541
260	11830	33496
261	11872	33442
262	11916	33392
263	11959	33342
264	12001	33286
265	12041	33227
266	12086	33181
267	12131	33135
268	12174	33083
269	12218	33034
270	12263	32988
271	12308	32944
272	12350	32888
273	12389	32827
274	12434	32780
275	12475	32725
276	12519	32678
277	12564	32632
278	12609	32586
279	12652	32535
280	12695	32484
281	12738	32432
282	12782	32386
283	12824	32331
284	12868	32283
285	12912	32236
286	12954	32182
287	12996	32130
288	13041	32085
289	13085	32036
290	13130	31991
291	13177	31951
292	13224	31910
293	13271	31868
294	13314	31820
295	13359	31774
296	13405	31730
297	13447	31677
298	13494	31637
299	13535	31583
300	13580	31538
301	13625	31491
302	13671	31448
303	13716	31404
304	13762	31359
305	13805	31310
306	13849	31261
307	13893	31215
308	13941	31175
309	13983	31124
310	14029	31080
311	14074	31035
312	14119	30990
313	14164	30945
314	14208	30897
315	14251	30848
316	14296	30802
317	14334	30742
318	14381	30700
319	14422	30647
320	14467	30602
321	14510	30552
322	14551	30499
323	14596	30455
324	14642	30410
325	14689	30369
326	14735	30326
327	14779	30279
328	14826	30238
329	14870	30191
330	14916	30148
331	14961	30104
332	15009	30063
333	15074	30059
334	15142	30059
335	15184	30007
336	15230	29963
337	15276	29919
338	15324	29881
339	15368	29833
340	15412	29785
341	15461	29747
342	15507	29704
343	15567	29687
344	15613	29642
345	15659	29599
346	15704	29554
347	15748	29505
348	15790	29454
349	15837	29412
350	15881	29365
